nombre,n,p,nodo,val_nodo
completo,10,0.111111,0,0.1
completo,10,0.111111,1,0.1
completo,10,0.111111,2,0.1
completo,10,0.111111,3,0.1
completo,10,0.111111,4,0.1
completo,10,0.111111,5,0.1
completo,10,0.111111,6,0.1
completo,10,0.111111,7,0.1
completo,10,0.111111,8,0.1
completo,10,0.111111,9,0.1
completo,10,0.222222,0,0.1
completo,10,0.222222,1,0.1
completo,10,0.222222,2,0.1
completo,10,0.222222,3,0.1
completo,10,0.222222,4,0.1
completo,10,0.222222,5,0.1
completo,10,0.222222,6,0.1
completo,10,0.222222,7,0.1
completo,10,0.222222,8,0.1
completo,10,0.222222,9,0.1
completo,10,0.333333,0,0.1
completo,10,0.333333,1,0.1
completo,10,0.333333,2,0.1
completo,10,0.333333,3,0.1
completo,10,0.333333,4,0.1
completo,10,0.333333,5,0.1
completo,10,0.333333,6,0.1
completo,10,0.333333,7,0.1
completo,10,0.333333,8,0.1
completo,10,0.333333,9,0.1
completo,10,0.444444,0,0.1
completo,10,0.444444,1,0.1
completo,10,0.444444,2,0.1
completo,10,0.444444,3,0.1
completo,10,0.444444,4,0.1
completo,10,0.444444,5,0.1
completo,10,0.444444,6,0.1
completo,10,0.444444,7,0.1
completo,10,0.444444,8,0.1
completo,10,0.444444,9,0.1
completo,10,0.555556,0,0.1
completo,10,0.555556,1,0.1
completo,10,0.555556,2,0.1
completo,10,0.555556,3,0.1
completo,10,0.555556,4,0.1
completo,10,0.555556,5,0.1
completo,10,0.555556,6,0.1
completo,10,0.555556,7,0.1
completo,10,0.555556,8,0.1
completo,10,0.555556,9,0.1
completo,10,0.666667,0,0.1
completo,10,0.666667,1,0.1
completo,10,0.666667,2,0.1
completo,10,0.666667,3,0.1
completo,10,0.666667,4,0.1
completo,10,0.666667,5,0.1
completo,10,0.666667,6,0.1
completo,10,0.666667,7,0.1
completo,10,0.666667,8,0.1
completo,10,0.666667,9,0.1
completo,10,0.777778,0,0.1
completo,10,0.777778,1,0.1
completo,10,0.777778,2,0.1
completo,10,0.777778,3,0.1
completo,10,0.777778,4,0.1
completo,10,0.777778,5,0.1
completo,10,0.777778,6,0.1
completo,10,0.777778,7,0.1
completo,10,0.777778,8,0.1
completo,10,0.777778,9,0.1
completo,10,0.888889,0,0.1
completo,10,0.888889,1,0.1
completo,10,0.888889,2,0.1
completo,10,0.888889,3,0.1
completo,10,0.888889,4,0.1
completo,10,0.888889,5,0.1
completo,10,0.888889,6,0.1
completo,10,0.888889,7,0.1
completo,10,0.888889,8,0.1
completo,10,0.888889,9,0.1
