nombre,n,p,p_densidad,cant_densidades,nro_intento,cant_intentos,tiempo_ns
random-0.27427427427427425-pdens-1,200,0.5,0.27427427427427425,1000,1,5,50371236
random-0.8788788788788788-pdens-3,200,0.5,0.8788788788788788,1000,3,5,67568865
random-0.4804804804804805-pdens-1,200,0.5,0.4804804804804805,1000,1,5,56980698
random-0.2012012012012012-pdens-3,200,0.5,0.2012012012012012,1000,3,5,44081172
random-0.7097097097097097-pdens-3,200,0.5,0.7097097097097097,1000,3,5,64183290
random-0.01001001001001001-pdens-4,200,0.5,0.01001001001001001,1000,4,5,6075130
random-0.6856856856856857-pdens-2,200,0.5,0.6856856856856857,1000,2,5,62189133
random-0.6706706706706707-pdens-4,200,0.5,0.6706706706706707,1000,4,5,61427345
random-0.12712712712712712-pdens-3,200,0.5,0.12712712712712712,1000,3,5,38278756
random-0.5235235235235235-pdens-4,200,0.5,0.5235235235235235,1000,4,5,57346991
random-0.8918918918918919-pdens-3,200,0.5,0.8918918918918919,1000,3,5,67746402
random-0.6586586586586587-pdens-2,200,0.5,0.6586586586586587,1000,2,5,72701428
random-0.8388388388388388-pdens-4,200,0.5,0.8388388388388388,1000,4,5,92209292
random-0.11211211211211211-pdens-3,200,0.5,0.11211211211211211,1000,3,5,39441745
random-0.7697697697697697-pdens-2,200,0.5,0.7697697697697697,1000,2,5,67006922
random-0.5485485485485485-pdens-1,200,0.5,0.5485485485485485,1000,1,5,58982513
random-0.938938938938939-pdens-3,200,0.5,0.938938938938939,1000,3,5,68994347
random-0.5565565565565566-pdens-2,200,0.5,0.5565565565565566,1000,2,5,76642875
random-0.17317317317317318-pdens-1,200,0.5,0.17317317317317318,1000,1,5,42243224
random-0.5695695695695696-pdens-1,200,0.5,0.5695695695695696,1000,1,5,58458513
random-0.17617617617617617-pdens-4,200,0.5,0.17617617617617617,1000,4,5,41998336
random-0.47047047047047047-pdens-2,200,0.5,0.47047047047047047,1000,2,5,56573216
random-0.6566566566566566-pdens-0,200,0.5,0.6566566566566566,1000,0,5,63412722
random-0.2072072072072072-pdens-1,200,0.5,0.2072072072072072,1000,1,5,44615547
random-0.8388388388388388-pdens-2,200,0.5,0.8388388388388388,1000,2,5,66244081
random-0.04804804804804805-pdens-0,200,0.5,0.04804804804804805,1000,0,5,23664457
random-0.7127127127127127-pdens-0,200,0.5,0.7127127127127127,1000,0,5,63879484
random-0.8678678678678678-pdens-3,200,0.5,0.8678678678678678,1000,3,5,68039258
random-0.9009009009009009-pdens-3,200,0.5,0.9009009009009009,1000,3,5,68879897
random-0.42542542542542544-pdens-3,200,0.5,0.42542542542542544,1000,3,5,55304882
random-0.5965965965965966-pdens-3,200,0.5,0.5965965965965966,1000,3,5,59620943
random-0.7737737737737738-pdens-2,200,0.5,0.7737737737737738,1000,2,5,63811123
random-0.995995995995996-pdens-1,200,0.5,0.995995995995996,1000,1,5,69909703
random-0.6036036036036035-pdens-3,200,0.5,0.6036036036036035,1000,3,5,60592292
random-0.044044044044044044-pdens-1,200,0.5,0.044044044044044044,1000,1,5,25163797
random-0.1091091091091091-pdens-2,200,0.5,0.1091091091091091,1000,2,5,36542353
random-0.7007007007007007-pdens-2,200,0.5,0.7007007007007007,1000,2,5,63024791
random-0.5515515515515516-pdens-2,200,0.5,0.5515515515515516,1000,2,5,58047824
random-0.2772772772772773-pdens-3,200,0.5,0.2772772772772773,1000,3,5,47759733
random-0.26926926926926925-pdens-4,200,0.5,0.26926926926926925,1000,4,5,50499556
random-0.4894894894894895-pdens-2,200,0.5,0.4894894894894895,1000,2,5,57002196
random-0.993993993993994-pdens-3,200,0.5,0.993993993993994,1000,3,5,70216765
random-0.26226226226226224-pdens-0,200,0.5,0.26226226226226224,1000,0,5,48062288
random-0.7847847847847848-pdens-3,200,0.5,0.7847847847847848,1000,3,5,65056184
random-0.3113113113113113-pdens-4,200,0.5,0.3113113113113113,1000,4,5,51466795
random-0.14914914914914915-pdens-4,200,0.5,0.14914914914914915,1000,4,5,44897752
random-0.8808808808808809-pdens-4,200,0.5,0.8808808808808809,1000,4,5,88213122
random-0.4794794794794795-pdens-1,200,0.5,0.4794794794794795,1000,1,5,56275588
random-0.7597597597597597-pdens-4,200,0.5,0.7597597597597597,1000,4,5,76116096
random-0.6476476476476476-pdens-1,200,0.5,0.6476476476476476,1000,1,5,61376329
random-0.2062062062062062-pdens-3,200,0.5,0.2062062062062062,1000,3,5,43685332
random-0.3683683683683684-pdens-2,200,0.5,0.3683683683683684,1000,2,5,51324886
random-0.2882882882882883-pdens-4,200,0.5,0.2882882882882883,1000,4,5,48029527
random-0.6326326326326326-pdens-3,200,0.5,0.6326326326326326,1000,3,5,61939902
random-0.5455455455455456-pdens-3,200,0.5,0.5455455455455456,1000,3,5,59221475
random-0.96996996996997-pdens-1,200,0.5,0.96996996996997,1000,1,5,69692146
random-0.6926926926926927-pdens-0,200,0.5,0.6926926926926927,1000,0,5,62880071
random-0.5145145145145145-pdens-1,200,0.5,0.5145145145145145,1000,1,5,56807653
random-0.48648648648648646-pdens-1,200,0.5,0.48648648648648646,1000,1,5,56573017
random-0.27127127127127126-pdens-0,200,0.5,0.27127127127127126,1000,0,5,49956639
random-0.968968968968969-pdens-3,200,0.5,0.968968968968969,1000,3,5,71032353
