nombre,n,p,p_densidad,cant_densidades,nro_intento,cant_intentos,val
random-0.5499999999999999-pdens-221-cant_nodos-1,221,0.5,0.5499999999999999,20,1,1,2.25486e-13
random-0.7499999999999999-pdens-261-cant_nodos-1,261,0.5,0.7499999999999999,20,1,1,2.79332e-13
random-0.85-pdens-301-cant_nodos-1,301,0.5,0.85,20,1,1,3.72258e-13
random-0.19999999999999998-pdens-81-cant_nodos-1,81,0.5,0.19999999999999998,20,1,1,4.52971e-14
random-0.09999999999999999-pdens-121-cant_nodos-1,121,0.5,0.09999999999999999,20,1,1,8.65974e-14
random-0.15-pdens-21-cant_nodos-1,21,0.5,0.15,20,1,1,1.77636e-15
random-0.44999999999999996-pdens-161-cant_nodos-1,161,0.5,0.44999999999999996,20,1,1,1.26232e-13
random-0.8999999999999999-pdens-441-cant_nodos-1,441,0.5,0.8999999999999999,20,1,1,5.973e-13
random-0.44999999999999996-pdens-381-cant_nodos-1,381,0.5,0.44999999999999996,20,1,1,5.41678e-13
random-0.6499999999999999-pdens-261-cant_nodos-1,261,0.5,0.6499999999999999,20,1,1,2.82552e-13
random-0.7999999999999999-pdens-281-cant_nodos-1,281,0.5,0.7999999999999999,20,1,1,3.062e-13
random-0.15-pdens-261-cant_nodos-1,261,0.5,0.15,20,1,1,2.68674e-13
random-0.049999999999999996-pdens-441-cant_nodos-1,441,0.5,0.049999999999999996,20,1,1,5.4734e-13
random-0.6499999999999999-pdens-41-cant_nodos-1,41,0.5,0.6499999999999999,20,1,1,1.82077e-14
random-0.24999999999999997-pdens-261-cant_nodos-1,261,0.5,0.24999999999999997,20,1,1,2.68896e-13
random-0.6-pdens-201-cant_nodos-1,201,0.5,0.6,20,1,1,1.92846e-13
random-0.44999999999999996-pdens-121-cant_nodos-1,121,0.5,0.44999999999999996,20,1,1,9.448e-14
random-0.15-pdens-61-cant_nodos-1,61,0.5,0.15,20,1,1,2.63123e-14
random-0.24999999999999997-pdens-1-cant_nodos-1,1,0.5,0.24999999999999997,20,1,1,0.0
random-0.09999999999999999-pdens-161-cant_nodos-1,161,0.5,0.09999999999999999,20,1,1,1.21347e-13
random-0.95-pdens-481-cant_nodos-1,481,0.5,0.95,20,1,1,6.73794e-13
random-0.44999999999999996-pdens-81-cant_nodos-1,81,0.5,0.44999999999999996,20,1,1,4.27436e-14
random-0.85-pdens-341-cant_nodos-1,341,0.5,0.85,20,1,1,4.6374e-13
random-0.7499999999999999-pdens-221-cant_nodos-1,221,0.5,0.7499999999999999,20,1,1,2.04392e-13
random-0.8999999999999999-pdens-41-cant_nodos-1,41,0.5,0.8999999999999999,20,1,1,1.39888e-14
random-0.5499999999999999-pdens-261-cant_nodos-1,261,0.5,0.5499999999999999,20,1,1,2.91656e-13
random-0.6-pdens-241-cant_nodos-1,241,0.5,0.6,20,1,1,2.54685e-13
random-0.5499999999999999-pdens-1-cant_nodos-1,1,0.5,0.5499999999999999,20,1,1,0.0
random-0.24999999999999997-pdens-221-cant_nodos-1,221,0.5,0.24999999999999997,20,1,1,2.32037e-13
random-0.049999999999999996-pdens-401-cant_nodos-1,401,0.5,0.049999999999999996,20,1,1,4.71512e-13
random-0.15-pdens-221-cant_nodos-1,221,0.5,0.15,20,1,1,2.04392e-13
random-0.09999999999999999-pdens-381-cant_nodos-1,381,0.5,0.09999999999999999,20,1,1,4.31655e-13
random-0.6499999999999999-pdens-221-cant_nodos-1,221,0.5,0.6499999999999999,20,1,1,2.03504e-13
random-0.8999999999999999-pdens-401-cant_nodos-1,401,0.5,0.8999999999999999,20,1,1,5.62217e-13
random-0.39999999999999997-pdens-281-cant_nodos-1,281,0.5,0.39999999999999997,20,1,1,3.38396e-13
random-0.09999999999999999-pdens-1-cant_nodos-1,1,0.5,0.09999999999999999,20,1,1,0.0
random-0.3-pdens-101-cant_nodos-1,101,0.5,0.3,20,1,1,7.88258e-14
random-0.49999999999999994-pdens-101-cant_nodos-1,101,0.5,0.49999999999999994,20,1,1,6.76126e-14
random-0.85-pdens-401-cant_nodos-1,401,0.5,0.85,20,1,1,5.83533e-13
random-0.19999999999999998-pdens-241-cant_nodos-1,241,0.5,0.19999999999999998,20,1,1,2.38365e-13
random-0.5499999999999999-pdens-61-cant_nodos-1,61,0.5,0.5499999999999999,20,1,1,3.39728e-14
random-0.95-pdens-121-cant_nodos-1,121,0.5,0.95,20,1,1,1.03251e-13
random-0.35-pdens-241-cant_nodos-1,241,0.5,0.35,20,1,1,2.80442e-13
random-0.049999999999999996-pdens-341-cant_nodos-1,341,0.5,0.049999999999999996,20,1,1,3.53384e-13
random-0.44999999999999996-pdens-481-cant_nodos-1,481,0.5,0.44999999999999996,20,1,1,6.86562e-13
random-0.8999999999999999-pdens-341-cant_nodos-1,341,0.5,0.8999999999999999,20,1,1,4.88498e-13
random-0.19999999999999998-pdens-201-cant_nodos-1,201,0.5,0.19999999999999998,20,1,1,1.82854e-13
random-0.85-pdens-441-cant_nodos-1,441,0.5,0.85,20,1,1,7.21867e-13
random-0.7-pdens-1-cant_nodos-1,1,0.5,0.7,20,1,1,0.0
random-0.95-pdens-381-cant_nodos-1,381,0.5,0.95,20,1,1,4.85167e-13
random-0.49999999999999994-pdens-141-cant_nodos-1,141,0.5,0.49999999999999994,20,1,1,9.68114e-14
random-0.3-pdens-141-cant_nodos-1,141,0.5,0.3,20,1,1,1.11355e-13
random-0.8999999999999999-pdens-301-cant_nodos-1,301,0.5,0.8999999999999999,20,1,1,3.57714e-13
random-0.09999999999999999-pdens-481-cant_nodos-1,481,0.5,0.09999999999999999,20,1,1,6.76126e-13
random-0.049999999999999996-pdens-301-cant_nodos-1,301,0.5,0.049999999999999996,20,1,1,2.9432e-13
random-0.35-pdens-201-cant_nodos-1,201,0.5,0.35,20,1,1,2.11497e-13
random-0.95-pdens-161-cant_nodos-1,161,0.5,0.95,20,1,1,1.55875e-13
random-0.5499999999999999-pdens-21-cant_nodos-1,21,0.5,0.5499999999999999,20,1,1,5.21805e-15
random-0.0-pdens-81-cant_nodos-1,81,0.5,0.0,20,1,1,0.0
random-0.6-pdens-21-cant_nodos-1,21,0.5,0.6,20,1,1,5.55112e-15
random-0.95-pdens-281-cant_nodos-1,281,0.5,0.95,20,1,1,4.08673e-13
random-0.7499999999999999-pdens-421-cant_nodos-1,421,0.5,0.7499999999999999,20,1,1,6.19726e-13
random-0.19999999999999998-pdens-301-cant_nodos-1,301,0.5,0.19999999999999998,20,1,1,3.26517e-13
random-0.5499999999999999-pdens-461-cant_nodos-1,461,0.5,0.5499999999999999,20,1,1,7.20313e-13
random-0.6-pdens-441-cant_nodos-1,441,0.5,0.6,20,1,1,6.49258e-13
random-0.24999999999999997-pdens-421-cant_nodos-1,421,0.5,0.24999999999999997,20,1,1,5.7121e-13
random-0.35-pdens-301-cant_nodos-1,301,0.5,0.35,20,1,1,3.4639e-13
random-0.15-pdens-421-cant_nodos-1,421,0.5,0.15,20,1,1,5.51892e-13
random-0.049999999999999996-pdens-201-cant_nodos-1,201,0.5,0.049999999999999996,20,1,1,1.54432e-13
random-0.0-pdens-101-cant_nodos-1,101,0.5,0.0,20,1,1,0.0
random-0.6499999999999999-pdens-421-cant_nodos-1,421,0.5,0.6499999999999999,20,1,1,5.65659e-13
random-0.49999999999999994-pdens-61-cant_nodos-1,61,0.5,0.49999999999999994,20,1,1,3.11973e-14
random-0.39999999999999997-pdens-481-cant_nodos-1,481,0.5,0.39999999999999997,20,1,1,6.81233e-13
random-0.8999999999999999-pdens-201-cant_nodos-1,201,0.5,0.8999999999999999,20,1,1,2.10609e-13
random-0.5499999999999999-pdens-421-cant_nodos-1,421,0.5,0.5499999999999999,20,1,1,6.08957e-13
random-0.7499999999999999-pdens-461-cant_nodos-1,461,0.5,0.7499999999999999,20,1,1,7.06324e-13
random-0.19999999999999998-pdens-341-cant_nodos-1,341,0.5,0.19999999999999998,20,1,1,3.84248e-13
random-0.6-pdens-61-cant_nodos-1,61,0.5,0.6,20,1,1,3.71925e-14
random-0.8999999999999999-pdens-241-cant_nodos-1,241,0.5,0.8999999999999999,20,1,1,2.51243e-13
random-0.7499999999999999-pdens-41-cant_nodos-1,41,0.5,0.7499999999999999,20,1,1,1.85407e-14
random-0.7999999999999999-pdens-481-cant_nodos-1,481,0.5,0.7999999999999999,20,1,1,9.04721e-13
random-0.6499999999999999-pdens-461-cant_nodos-1,461,0.5,0.6499999999999999,20,1,1,7.12097e-13
random-0.49999999999999994-pdens-21-cant_nodos-1,21,0.5,0.49999999999999994,20,1,1,7.32747e-15
random-0.049999999999999996-pdens-241-cant_nodos-1,241,0.5,0.049999999999999996,20,1,1,1.98841e-13
random-0.15-pdens-461-cant_nodos-1,461,0.5,0.15,20,1,1,6.54921e-13
random-0.0-pdens-141-cant_nodos-1,141,0.5,0.0,20,1,1,0.0
random-0.35-pdens-341-cant_nodos-1,341,0.5,0.35,20,1,1,4.00013e-13
random-0.24999999999999997-pdens-41-cant_nodos-1,41,0.5,0.24999999999999997,20,1,1,1.16573e-14
random-0.24999999999999997-pdens-461-cant_nodos-1,461,0.5,0.24999999999999997,20,1,1,6.4182e-13
random-0.6499999999999999-pdens-1-cant_nodos-1,1,0.5,0.6499999999999999,20,1,1,0.0
random-0.6-pdens-401-cant_nodos-1,401,0.5,0.6,20,1,1,5.80869e-13
random-0.5499999999999999-pdens-361-cant_nodos-1,361,0.5,0.5499999999999999,20,1,1,4.57634e-13
random-0.19999999999999998-pdens-401-cant_nodos-1,401,0.5,0.19999999999999998,20,1,1,4.8539e-13
random-0.7499999999999999-pdens-321-cant_nodos-1,321,0.5,0.7499999999999999,20,1,1,3.48832e-13
random-0.3-pdens-41-cant_nodos-1,41,0.5,0.3,20,1,1,1.84297e-14
random-0.85-pdens-241-cant_nodos-1,241,0.5,0.85,20,1,1,2.96763e-13
random-0.7999999999999999-pdens-121-cant_nodos-1,121,0.5,0.7999999999999999,20,1,1,8.50431e-14
random-0.35-pdens-81-cant_nodos-1,81,0.5,0.35,20,1,1,5.14033e-14
random-0.85-pdens-21-cant_nodos-1,21,0.5,0.85,20,1,1,7.77156e-15
random-0.39999999999999997-pdens-161-cant_nodos-1,161,0.5,0.39999999999999997,20,1,1,1.38112e-13
random-0.39999999999999997-pdens-381-cant_nodos-1,381,0.5,0.39999999999999997,20,1,1,5.13811e-13
