nombre,p,p_densidad,min_cant_nodos,max_cant_nodos,step_nodos,cant_nodos,nro_intento,cant_intentos,tiempo_ns
random-360-nodos-12,0.5,0.3,20,1000,10,360,12,20,239289419
random-830-nodos-4,0.5,0.3,20,1000,10,830,4,20,2695048449
random-480-nodos-10,0.5,0.3,20,1000,10,480,10,20,535033723
random-650-nodos-13,0.5,0.3,20,1000,10,650,13,20,1298326574
random-110-nodos-14,0.5,0.3,20,1000,10,110,14,20,12868132
random-650-nodos-12,0.5,0.3,20,1000,10,650,12,20,1295309795
random-960-nodos-8,0.5,0.3,20,1000,10,960,8,20,4173325236
random-710-nodos-0,0.5,0.3,20,1000,10,710,0,20,1695533005
random-540-nodos-10,0.5,0.3,20,1000,10,540,10,20,749370087
random-240-nodos-10,0.5,0.3,20,1000,10,240,10,20,78590659
random-500-nodos-12,0.5,0.3,20,1000,10,500,12,20,598866000
random-740-nodos-17,0.5,0.3,20,1000,10,740,17,20,1908751382
random-260-nodos-9,0.5,0.3,20,1000,10,260,9,20,96801315
random-870-nodos-18,0.5,0.3,20,1000,10,870,18,20,3136462950
random-280-nodos-8,0.5,0.3,20,1000,10,280,8,20,120392927
random-670-nodos-10,0.5,0.3,20,1000,10,670,10,20,1424722184
random-460-nodos-2,0.5,0.3,20,1000,10,460,2,20,467562699
random-120-nodos-5,0.5,0.3,20,1000,10,120,5,20,15334231
random-630-nodos-13,0.5,0.3,20,1000,10,630,13,20,1202329245
random-630-nodos-4,0.5,0.3,20,1000,10,630,4,20,1194295378
random-200-nodos-4,0.5,0.3,20,1000,10,200,4,20,52301775
random-220-nodos-2,0.5,0.3,20,1000,10,220,2,20,63014444
random-290-nodos-14,0.5,0.3,20,1000,10,290,14,20,131796032
random-420-nodos-6,0.5,0.3,20,1000,10,420,6,20,358815158
random-210-nodos-2,0.5,0.3,20,1000,10,210,2,20,55515202
random-370-nodos-19,0.5,0.3,20,1000,10,370,19,20,257522445
random-690-nodos-7,0.5,0.3,20,1000,10,690,7,20,1579512426
random-940-nodos-19,0.5,0.3,20,1000,10,940,19,20,3964155181
random-140-nodos-14,0.5,0.3,20,1000,10,140,14,20,20942864
random-390-nodos-10,0.5,0.3,20,1000,10,390,10,20,294085082
random-760-nodos-11,0.5,0.3,20,1000,10,760,11,20,2081403129
random-230-nodos-0,0.5,0.3,20,1000,10,230,0,20,69600713
random-860-nodos-18,0.5,0.3,20,1000,10,860,18,20,3038787735
random-860-nodos-5,0.5,0.3,20,1000,10,860,5,20,2991308722
random-360-nodos-10,0.5,0.3,20,1000,10,360,10,20,233739054
random-150-nodos-7,0.5,0.3,20,1000,10,150,7,20,24489626
random-840-nodos-8,0.5,0.3,20,1000,10,840,8,20,2830126225
random-440-nodos-1,0.5,0.3,20,1000,10,440,1,20,418893631
random-250-nodos-0,0.5,0.3,20,1000,10,250,0,20,86694140
random-450-nodos-7,0.5,0.3,20,1000,10,450,7,20,445395709
random-390-nodos-2,0.5,0.3,20,1000,10,390,2,20,295935219
random-650-nodos-6,0.5,0.3,20,1000,10,650,6,20,1304196781
random-370-nodos-13,0.5,0.3,20,1000,10,370,13,20,257432521
random-500-nodos-15,0.5,0.3,20,1000,10,500,15,20,596818443
random-400-nodos-1,0.5,0.3,20,1000,10,400,1,20,317028171
random-390-nodos-3,0.5,0.3,20,1000,10,390,3,20,296490075
random-340-nodos-5,0.5,0.3,20,1000,10,340,5,20,201249556
random-840-nodos-3,0.5,0.3,20,1000,10,840,3,20,2816702619
random-730-nodos-0,0.5,0.3,20,1000,10,730,0,20,1849587877
random-790-nodos-11,0.5,0.3,20,1000,10,790,11,20,2328243518
random-460-nodos-18,0.5,0.3,20,1000,10,460,18,20,471570712
random-980-nodos-0,0.5,0.3,20,1000,10,980,0,20,4386506461
random-720-nodos-17,0.5,0.3,20,1000,10,720,17,20,1787679806
random-850-nodos-13,0.5,0.3,20,1000,10,850,13,20,2930830494
random-780-nodos-7,0.5,0.3,20,1000,10,780,7,20,2249110619
random-910-nodos-7,0.5,0.3,20,1000,10,910,7,20,3619345247
random-100-nodos-13,0.5,0.3,20,1000,10,100,13,20,10817937
random-880-nodos-14,0.5,0.3,20,1000,10,880,14,20,3237473803
random-340-nodos-4,0.5,0.3,20,1000,10,340,4,20,201364306
random-800-nodos-6,0.5,0.3,20,1000,10,800,6,20,2448245819
random-880-nodos-13,0.5,0.3,20,1000,10,880,13,20,3221463381
random-890-nodos-3,0.5,0.3,20,1000,10,890,3,20,3324464294
random-970-nodos-7,0.5,0.3,20,1000,10,970,7,20,4283981094
random-70-nodos-9,0.5,0.3,20,1000,10,70,9,20,6747897
random-480-nodos-5,0.5,0.3,20,1000,10,480,5,20,531754075
random-800-nodos-13,0.5,0.3,20,1000,10,800,13,20,2431882319
random-350-nodos-15,0.5,0.3,20,1000,10,350,15,20,220390689
random-740-nodos-16,0.5,0.3,20,1000,10,740,16,20,1912440359
random-100-nodos-2,0.5,0.3,20,1000,10,100,2,20,10703695
random-100-nodos-7,0.5,0.3,20,1000,10,100,7,20,11557167
random-650-nodos-3,0.5,0.3,20,1000,10,650,3,20,1290922703
random-830-nodos-6,0.5,0.3,20,1000,10,830,6,20,2715213852
random-130-nodos-19,0.5,0.3,20,1000,10,130,19,20,17953524
random-430-nodos-6,0.5,0.3,20,1000,10,430,6,20,385751646
random-510-nodos-15,0.5,0.3,20,1000,10,510,15,20,631433142
random-460-nodos-11,0.5,0.3,20,1000,10,460,11,20,469483263
random-780-nodos-17,0.5,0.3,20,1000,10,780,17,20,2231837817
random-590-nodos-7,0.5,0.3,20,1000,10,590,7,20,980463217
random-300-nodos-3,0.5,0.3,20,1000,10,300,3,20,144574696
random-950-nodos-0,0.5,0.3,20,1000,10,950,0,20,4059497735
random-290-nodos-1,0.5,0.3,20,1000,10,290,1,20,132710929
random-60-nodos-19,0.5,0.3,20,1000,10,60,19,20,5674044
random-300-nodos-6,0.5,0.3,20,1000,10,300,6,20,143364692
random-270-nodos-1,0.5,0.3,20,1000,10,270,1,20,110143655
random-330-nodos-18,0.5,0.3,20,1000,10,330,18,20,188760160
random-870-nodos-5,0.5,0.3,20,1000,10,870,5,20,3120801655
random-60-nodos-6,0.5,0.3,20,1000,10,60,6,20,5741398
random-360-nodos-14,0.5,0.3,20,1000,10,360,14,20,240354255
random-840-nodos-0,0.5,0.3,20,1000,10,840,0,20,2798288276
random-790-nodos-17,0.5,0.3,20,1000,10,790,17,20,2303347319
random-110-nodos-0,0.5,0.3,20,1000,10,110,0,20,15544252
random-820-nodos-3,0.5,0.3,20,1000,10,820,3,20,2605841527
random-450-nodos-18,0.5,0.3,20,1000,10,450,18,20,446947853
random-790-nodos-3,0.5,0.3,20,1000,10,790,3,20,2359642813
random-860-nodos-11,0.5,0.3,20,1000,10,860,11,20,3005785176
random-660-nodos-17,0.5,0.3,20,1000,10,660,17,20,1374270563
random-20-nodos-13,0.5,0.3,20,1000,10,20,13,20,4099903
random-800-nodos-16,0.5,0.3,20,1000,10,800,16,20,2438237319
random-610-nodos-3,0.5,0.3,20,1000,10,610,3,20,1082689327
random-560-nodos-16,0.5,0.3,20,1000,10,560,16,20,829919436
random-320-nodos-0,0.5,0.3,20,1000,10,320,0,20,171442624
random-340-nodos-11,0.5,0.3,20,1000,10,340,11,20,202363998
random-930-nodos-16,0.5,0.3,20,1000,10,930,16,20,3801512070
random-430-nodos-13,0.5,0.3,20,1000,10,430,13,20,385952456
random-710-nodos-7,0.5,0.3,20,1000,10,710,7,20,1702933862
random-400-nodos-14,0.5,0.3,20,1000,10,400,14,20,314794969
random-60-nodos-1,0.5,0.3,20,1000,10,60,1,20,5631540
random-990-nodos-13,0.5,0.3,20,1000,10,990,13,20,4549759221
random-620-nodos-8,0.5,0.3,20,1000,10,620,8,20,1128877898
random-200-nodos-15,0.5,0.3,20,1000,10,200,15,20,49477375
random-160-nodos-8,0.5,0.3,20,1000,10,160,8,20,28913956
random-590-nodos-15,0.5,0.3,20,1000,10,590,15,20,976014190
random-790-nodos-0,0.5,0.3,20,1000,10,790,0,20,2322848851
random-170-nodos-19,0.5,0.3,20,1000,10,170,19,20,32878960
random-290-nodos-11,0.5,0.3,20,1000,10,290,11,20,129683371
random-140-nodos-17,0.5,0.3,20,1000,10,140,17,20,22829261
random-420-nodos-8,0.5,0.3,20,1000,10,420,8,20,366136959
random-50-nodos-3,0.5,0.3,20,1000,10,50,3,20,5073526
random-450-nodos-11,0.5,0.3,20,1000,10,450,11,20,443721048
random-720-nodos-10,0.5,0.3,20,1000,10,720,10,20,1760803226
random-670-nodos-1,0.5,0.3,20,1000,10,670,1,20,1416964369
random-120-nodos-17,0.5,0.3,20,1000,10,120,17,20,15323350
random-460-nodos-4,0.5,0.3,20,1000,10,460,4,20,472851915
random-480-nodos-7,0.5,0.3,20,1000,10,480,7,20,543431991
random-560-nodos-2,0.5,0.3,20,1000,10,560,2,20,834316941
random-340-nodos-12,0.5,0.3,20,1000,10,340,12,20,201282086
random-460-nodos-17,0.5,0.3,20,1000,10,460,17,20,469290537
random-330-nodos-8,0.5,0.3,20,1000,10,330,8,20,185446467
random-480-nodos-16,0.5,0.3,20,1000,10,480,16,20,530446796
random-800-nodos-1,0.5,0.3,20,1000,10,800,1,20,2416483609
random-70-nodos-6,0.5,0.3,20,1000,10,70,6,20,6701298
random-560-nodos-6,0.5,0.3,20,1000,10,560,6,20,837068773
random-380-nodos-7,0.5,0.3,20,1000,10,380,7,20,275441200
random-940-nodos-0,0.5,0.3,20,1000,10,940,0,20,3889240728
random-240-nodos-15,0.5,0.3,20,1000,10,240,15,20,79403477
random-610-nodos-0,0.5,0.3,20,1000,10,610,0,20,1071726114
random-260-nodos-8,0.5,0.3,20,1000,10,260,8,20,94573354
random-210-nodos-1,0.5,0.3,20,1000,10,210,1,20,55405392
random-90-nodos-2,0.5,0.3,20,1000,10,90,2,20,9486865
random-880-nodos-6,0.5,0.3,20,1000,10,880,6,20,3256007606
random-750-nodos-6,0.5,0.3,20,1000,10,750,6,20,1997018991
random-40-nodos-15,0.5,0.3,20,1000,10,40,15,20,4500769
random-730-nodos-1,0.5,0.3,20,1000,10,730,1,20,1849454325
random-580-nodos-2,0.5,0.3,20,1000,10,580,2,20,926595361
random-360-nodos-16,0.5,0.3,20,1000,10,360,16,20,235076278
random-20-nodos-18,0.5,0.3,20,1000,10,20,18,20,3945248
random-260-nodos-1,0.5,0.3,20,1000,10,260,1,20,104339758
random-490-nodos-7,0.5,0.3,20,1000,10,490,7,20,569560018
random-240-nodos-12,0.5,0.3,20,1000,10,240,12,20,77668862
random-830-nodos-9,0.5,0.3,20,1000,10,830,9,20,2703511647
random-250-nodos-15,0.5,0.3,20,1000,10,250,15,20,87185629
random-950-nodos-1,0.5,0.3,20,1000,10,950,1,20,4028293959
random-960-nodos-19,0.5,0.3,20,1000,10,960,19,20,4147019756
random-390-nodos-0,0.5,0.3,20,1000,10,390,0,20,295820059
random-660-nodos-19,0.5,0.3,20,1000,10,660,19,20,1373731362
random-920-nodos-0,0.5,0.3,20,1000,10,920,0,20,3682020231
random-440-nodos-13,0.5,0.3,20,1000,10,440,13,20,418324451
random-40-nodos-13,0.5,0.3,20,1000,10,40,13,20,4727284
random-300-nodos-14,0.5,0.3,20,1000,10,300,14,20,141969100
random-370-nodos-0,0.5,0.3,20,1000,10,370,0,20,257394660
random-490-nodos-8,0.5,0.3,20,1000,10,490,8,20,558139479
random-660-nodos-5,0.5,0.3,20,1000,10,660,5,20,1362823881
random-660-nodos-16,0.5,0.3,20,1000,10,660,16,20,1387801755
