nombre,p,m,min_cant_nodos,max_cant_nodos,step_nodos,cant_nodos,nro_intento,cant_intentos,tiempo_ns
random-830-nodos-4,0.5,380,20,1000,10,830,4,5,17338998
random-710-nodos-0,0.5,380,20,1000,10,710,0,5,13998857
random-460-nodos-2,0.5,380,20,1000,10,460,2,5,9055704
random-630-nodos-4,0.5,380,20,1000,10,630,4,5,11354023
random-200-nodos-4,0.5,380,20,1000,10,200,4,5,6571318
random-220-nodos-2,0.5,380,20,1000,10,220,2,5,6037702
random-210-nodos-2,0.5,380,20,1000,10,210,2,5,6426284
random-230-nodos-0,0.5,380,20,1000,10,230,0,5,5934986
random-440-nodos-1,0.5,380,20,1000,10,440,1,5,11132399
random-250-nodos-0,0.5,380,20,1000,10,250,0,5,9670811
random-390-nodos-2,0.5,380,20,1000,10,390,2,5,9101140
random-400-nodos-1,0.5,380,20,1000,10,400,1,5,7478192
random-390-nodos-3,0.5,380,20,1000,10,390,3,5,9971373
random-840-nodos-3,0.5,380,20,1000,10,840,3,5,18788388
random-730-nodos-0,0.5,380,20,1000,10,730,0,5,13703130
random-980-nodos-0,0.5,380,20,1000,10,980,0,5,21054163
random-340-nodos-4,0.5,380,20,1000,10,340,4,5,6630247
random-890-nodos-3,0.5,380,20,1000,10,890,3,5,18475765
random-100-nodos-2,0.5,380,20,1000,10,100,2,5,5419396
random-650-nodos-3,0.5,380,20,1000,10,650,3,5,11348309
random-300-nodos-3,0.5,380,20,1000,10,300,3,5,7159768
random-950-nodos-0,0.5,380,20,1000,10,950,0,5,20867381
random-290-nodos-1,0.5,380,20,1000,10,290,1,5,5988720
random-270-nodos-1,0.5,380,20,1000,10,270,1,5,6260673
random-840-nodos-0,0.5,380,20,1000,10,840,0,5,15541670
random-110-nodos-0,0.5,380,20,1000,10,110,0,5,5859727
random-820-nodos-3,0.5,380,20,1000,10,820,3,5,16854001
random-790-nodos-3,0.5,380,20,1000,10,790,3,5,14821392
random-610-nodos-3,0.5,380,20,1000,10,610,3,5,11076633
random-320-nodos-0,0.5,380,20,1000,10,320,0,5,7566067
random-60-nodos-1,0.5,380,20,1000,10,60,1,5,5574756
random-790-nodos-0,0.5,380,20,1000,10,790,0,5,21193225
random-50-nodos-3,0.5,380,20,1000,10,50,3,5,4399865
random-670-nodos-1,0.5,380,20,1000,10,670,1,5,14418938
random-460-nodos-4,0.5,380,20,1000,10,460,4,5,8933892
random-560-nodos-2,0.5,380,20,1000,10,560,2,5,12840000
random-800-nodos-1,0.5,380,20,1000,10,800,1,5,15855263
random-940-nodos-0,0.5,380,20,1000,10,940,0,5,18218503
random-610-nodos-0,0.5,380,20,1000,10,610,0,5,12561067
random-210-nodos-1,0.5,380,20,1000,10,210,1,5,7212295
random-90-nodos-2,0.5,380,20,1000,10,90,2,5,5339475
random-730-nodos-1,0.5,380,20,1000,10,730,1,5,16590579
random-580-nodos-2,0.5,380,20,1000,10,580,2,5,10625872
random-260-nodos-1,0.5,380,20,1000,10,260,1,5,6580373
random-950-nodos-1,0.5,380,20,1000,10,950,1,5,21523586
random-390-nodos-0,0.5,380,20,1000,10,390,0,5,7329794
random-920-nodos-0,0.5,380,20,1000,10,920,0,5,20740635
random-370-nodos-0,0.5,380,20,1000,10,370,0,5,6852427
random-380-nodos-3,0.5,380,20,1000,10,380,3,5,9776305
random-530-nodos-1,0.5,380,20,1000,10,530,1,5,13015238
random-300-nodos-0,0.5,380,20,1000,10,300,0,5,7381257
random-880-nodos-1,0.5,380,20,1000,10,880,1,5,17361650
random-490-nodos-0,0.5,380,20,1000,10,490,0,5,8619659
random-720-nodos-0,0.5,380,20,1000,10,720,0,5,14797407
random-80-nodos-4,0.5,380,20,1000,10,80,4,5,4955053
random-640-nodos-0,0.5,380,20,1000,10,640,0,5,12168005
random-810-nodos-3,0.5,380,20,1000,10,810,3,5,19259994
random-190-nodos-1,0.5,380,20,1000,10,190,1,5,5563193
random-940-nodos-1,0.5,380,20,1000,10,940,1,5,17899083
random-760-nodos-4,0.5,380,20,1000,10,760,4,5,14152427
random-980-nodos-3,0.5,380,20,1000,10,980,3,5,19917263
random-610-nodos-1,0.5,380,20,1000,10,610,1,5,10962452
random-870-nodos-0,0.5,380,20,1000,10,870,0,5,19123261
