nombre,cant_estrellas,cant_nodos_por_estrella,p,nodo,val_nodo
union-estrellas-out,3,4,0.111111,0,0.0770642
union-estrellas-out,3,4,0.111111,1,0.0771662
union-estrellas-out,3,4,0.111111,2,0.0771662
union-estrellas-out,3,4,0.111111,3,0.0771662
union-estrellas-out,3,4,0.111111,4,0.0770642
union-estrellas-out,3,4,0.111111,5,0.0771662
union-estrellas-out,3,4,0.111111,6,0.0771662
union-estrellas-out,3,4,0.111111,7,0.0771662
union-estrellas-out,3,4,0.111111,8,0.0770642
union-estrellas-out,3,4,0.111111,9,0.0771662
union-estrellas-out,3,4,0.111111,10,0.0771662
union-estrellas-out,3,4,0.111111,11,0.0771662
union-estrellas-out,3,4,0.111111,12,0.0743119
union-estrellas-out,3,4,0.222222,0,0.0770593
union-estrellas-out,3,4,0.222222,1,0.077453
union-estrellas-out,3,4,0.222222,2,0.077453
union-estrellas-out,3,4,0.222222,3,0.077453
union-estrellas-out,3,4,0.222222,4,0.0770593
union-estrellas-out,3,4,0.222222,5,0.077453
union-estrellas-out,3,4,0.222222,6,0.077453
union-estrellas-out,3,4,0.222222,7,0.077453
union-estrellas-out,3,4,0.222222,8,0.0770593
union-estrellas-out,3,4,0.222222,9,0.077453
union-estrellas-out,3,4,0.222222,10,0.077453
union-estrellas-out,3,4,0.222222,11,0.077453
union-estrellas-out,3,4,0.222222,12,0.0717449
union-estrellas-out,3,4,0.333333,0,0.0769231
union-estrellas-out,3,4,0.333333,1,0.0777778
union-estrellas-out,3,4,0.333333,2,0.0777778
union-estrellas-out,3,4,0.333333,3,0.0777778
union-estrellas-out,3,4,0.333333,4,0.0769231
union-estrellas-out,3,4,0.333333,5,0.0777778
union-estrellas-out,3,4,0.333333,6,0.0777778
union-estrellas-out,3,4,0.333333,7,0.0777778
union-estrellas-out,3,4,0.333333,8,0.0769231
union-estrellas-out,3,4,0.333333,9,0.0777778
union-estrellas-out,3,4,0.333333,10,0.0777778
union-estrellas-out,3,4,0.333333,11,0.0777778
union-estrellas-out,3,4,0.333333,12,0.0692308
union-estrellas-out,3,4,0.444444,0,0.0766694
union-estrellas-out,3,4,0.444444,1,0.078135
union-estrellas-out,3,4,0.444444,2,0.078135
union-estrellas-out,3,4,0.444444,3,0.078135
union-estrellas-out,3,4,0.444444,4,0.0766694
union-estrellas-out,3,4,0.444444,5,0.078135
union-estrellas-out,3,4,0.444444,6,0.078135
union-estrellas-out,3,4,0.444444,7,0.078135
union-estrellas-out,3,4,0.444444,8,0.0766694
union-estrellas-out,3,4,0.444444,9,0.078135
union-estrellas-out,3,4,0.444444,10,0.078135
union-estrellas-out,3,4,0.444444,11,0.078135
union-estrellas-out,3,4,0.444444,12,0.0667766
union-estrellas-out,3,4,0.555556,0,0.0763116
union-estrellas-out,3,4,0.555556,1,0.0785197
union-estrellas-out,3,4,0.555556,2,0.0785197
union-estrellas-out,3,4,0.555556,3,0.0785197
union-estrellas-out,3,4,0.555556,4,0.0763116
union-estrellas-out,3,4,0.555556,5,0.0785197
union-estrellas-out,3,4,0.555556,6,0.0785197
union-estrellas-out,3,4,0.555556,7,0.0785197
union-estrellas-out,3,4,0.555556,8,0.0763116
union-estrellas-out,3,4,0.555556,9,0.0785197
union-estrellas-out,3,4,0.555556,10,0.0785197
union-estrellas-out,3,4,0.555556,11,0.0785197
union-estrellas-out,3,4,0.555556,12,0.0643879
union-estrellas-out,3,4,0.666667,0,0.0758621
union-estrellas-out,3,4,0.666667,1,0.0789272
union-estrellas-out,3,4,0.666667,2,0.0789272
union-estrellas-out,3,4,0.666667,3,0.0789272
union-estrellas-out,3,4,0.666667,4,0.0758621
union-estrellas-out,3,4,0.666667,5,0.0789272
union-estrellas-out,3,4,0.666667,6,0.0789272
union-estrellas-out,3,4,0.666667,7,0.0789272
union-estrellas-out,3,4,0.666667,8,0.0758621
union-estrellas-out,3,4,0.666667,9,0.0789272
union-estrellas-out,3,4,0.666667,10,0.0789272
union-estrellas-out,3,4,0.666667,11,0.0789272
union-estrellas-out,3,4,0.666667,12,0.062069
union-estrellas-out,3,4,0.777778,0,0.0753323
union-estrellas-out,3,4,0.777778,1,0.0793534
union-estrellas-out,3,4,0.777778,2,0.0793534
union-estrellas-out,3,4,0.777778,3,0.0793534
union-estrellas-out,3,4,0.777778,4,0.0753323
union-estrellas-out,3,4,0.777778,5,0.0793534
union-estrellas-out,3,4,0.777778,6,0.0793534
union-estrellas-out,3,4,0.777778,7,0.0793534
union-estrellas-out,3,4,0.777778,8,0.0753323
union-estrellas-out,3,4,0.777778,9,0.0793534
union-estrellas-out,3,4,0.777778,10,0.0793534
union-estrellas-out,3,4,0.777778,11,0.0793534
union-estrellas-out,3,4,0.777778,12,0.0598227
union-estrellas-out,3,4,0.888889,0,0.0747331
union-estrellas-out,3,4,0.888889,1,0.0797944
union-estrellas-out,3,4,0.888889,2,0.0797944
union-estrellas-out,3,4,0.888889,3,0.0797944
union-estrellas-out,3,4,0.888889,4,0.0747331
union-estrellas-out,3,4,0.888889,5,0.0797944
union-estrellas-out,3,4,0.888889,6,0.0797944
union-estrellas-out,3,4,0.888889,7,0.0797944
union-estrellas-out,3,4,0.888889,8,0.0747331
union-estrellas-out,3,4,0.888889,9,0.0797944
union-estrellas-out,3,4,0.888889,10,0.0797944
union-estrellas-out,3,4,0.888889,11,0.0797944
union-estrellas-out,3,4,0.888889,12,0.0576512
