accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo,norma
0.7036,10,20,5000,0.733575,821,661,1698,1820,571,1
0.6962,10,20,5000,0.730754,851,668,1668,1813,614,2
0.6938,10,20,5000,0.726723,853,678,1666,1803,2499,3
0.6924,10,20,5000,0.724708,855,683,1664,1798,2547,4
0.5336,10,20,5000,0.0785973,46,2286,2473,195,1398,chi2
0.6842,10,20,5000,0.715437,873,706,1646,1775,293,inf
0.7108,15,20,5000,0.750907,828,618,1691,1863,823,1
0.7068,15,20,5000,0.74607,836,630,1683,1851,880,2
0.7006,15,20,5000,0.7368,844,653,1675,1828,3683,3
0.697,15,20,5000,0.731157,848,667,1671,1814,3773,4
0.4628,15,20,5000,0.817412,2233,453,286,2028,1541,chi2
0.684,15,20,5000,0.717453,879,701,1640,1780,406,inf
0.7138,20,20,5000,0.748489,807,624,1712,1857,1078,1
0.7062,20,20,5000,0.745264,837,632,1682,1849,1150,2
0.7002,20,20,5000,0.741636,858,641,1661,1840,5075,3
0.6966,20,20,5000,0.74204,877,640,1642,1841,4985,4
0.491,20,20,5000,0.28295,766,1779,1753,702,2234,chi2
0.6788,20,20,5000,0.716243,902,704,1617,1777,546,inf
0.7174,25,20,5000,0.74607,783,630,1736,1851,1325,1
0.709,25,20,5000,0.736397,801,654,1718,1827,1419,2
0.7048,25,20,5000,0.730754,808,668,1711,1813,6092,3
0.7006,25,20,5000,0.729141,825,672,1694,1809,6223,4
0.4748,25,20,5000,0.641274,1736,890,783,1591,2356,chi2
0.6812,25,20,5000,0.717453,893,701,1626,1780,663,inf
0.7086,30,20,5000,0.733575,796,661,1723,1820,1583,1
0.706,30,20,5000,0.731963,805,665,1714,1816,1690,2
0.704,30,20,5000,0.733978,820,660,1699,1821,7312,3
0.6952,30,20,5000,0.729545,853,671,1666,1810,7411,4
0.4824,30,20,5000,0.276904,794,1794,1725,687,2430,chi2
0.684,30,20,5000,0.732366,916,664,1603,1817,789,inf
0.703,35,20,5000,0.724305,801,684,1718,1797,1835,1
0.7,35,20,5000,0.727529,824,676,1695,1805,1958,2
0.6946,35,20,5000,0.727126,850,677,1669,1804,8532,3
0.692,35,20,5000,0.72632,861,679,1658,1802,8692,4
0.5032,35,20,5000,0.0100766,28,2456,2491,25,2559,chi2
0.671,35,20,5000,0.723499,959,686,1560,1795,915,inf
0.7086,40,20,5000,0.725917,777,680,1742,1801,2085,1
0.6998,40,20,5000,0.723902,816,685,1703,1796,2230,2
0.6994,40,20,5000,0.728738,830,673,1689,1808,9727,3
0.695,40,20,5000,0.73156,859,666,1660,1815,9898,4
0.4548,40,20,5000,0.738009,2076,650,443,1831,2702,chi2
0.6662,40,20,5000,0.716243,965,704,1554,1777,1040,inf
0.7062,45,20,5000,0.736397,815,654,1704,1827,2340,1
0.7044,45,20,5000,0.743652,842,636,1677,1845,2507,2
0.6948,45,20,5000,0.735187,869,657,1650,1824,10928,3
0.688,45,20,5000,0.728335,886,674,1633,1807,11164,4
0.4966,45,20,5000,0.0455462,149,2368,2370,113,2845,chi2
0.6684,45,20,5000,0.724708,975,683,1544,1798,1163,inf
