accuracy,k,testing_entries,testing entries,recall,falseP,falseN,trueN,trueP,norma,norma
0.63304,1,25000,0.64176,4696,4478,7804,8022,7307,1,
0.62404,1,25000,0.56896,4011,5388,8489,7112,3255,2,
0.62844,1,25000,0.6332,4704,4585,7796,7915,32300,3,
0.6286,1,25000,0.63488,4721,4564,7779,7936,22346,4,
0.46812,1,25000,0.14688,2633,10664,9867,1836,4347,chi2,
0.6212,1,25000,0.5472,3810,5660,8690,6840,1515,inf,
0.65668,6,25000,0.53664,2791,5792,9709,6708,2138,1,
0.67976,6,25000,0.71664,4464,3542,8036,8958,5962,2,
0.67432,6,25000,0.69648,4348,3794,8152,8706,25288,3,
0.67136,6,25000,0.69136,4358,3858,8142,8642,28012,4,
0.63252,6,25000,0.50456,2994,6193,9506,6307,5000,chi2,
0.64664,6,25000,0.54,3084,5750,9416,6750,1235,inf,
0.69844,11,25000,0.7584,4519,3020,7981,9480,3432,1,
0.6588,11,25000,0.51216,2432,6098,10068,6402,1574,2,
0.66076,11,25000,0.51104,2369,6112,10131,6388,6784,3,
0.68968,11,25000,0.73096,4395,3363,8105,9137,19112,4,
0.54012,11,25000,0.16304,1035,10462,11465,2038,3453,chi2,
0.65812,11,25000,0.51408,2473,6074,10027,6426,1049,inf,
0.70224,16,25000,0.76944,4562,2882,7938,9618,3545,1,
0.66372,16,25000,0.504,2207,6200,10293,6300,1580,2,
0.6988,16,25000,0.7552,4470,3060,8030,9440,17985,3,
0.6944,16,25000,0.7428,4425,3215,8075,9285,18739,4,
0.61584,16,25000,0.5372,3819,5785,8681,6715,3624,chi2,
0.65976,16,25000,0.49408,2182,6324,10318,6176,1114,inf,
0.66912,21,25000,0.48584,1845,6427,10655,6073,1484,1,
0.705,21,25000,0.78344,4668,2707,7832,9793,3506,2,
0.7002,21,25000,0.76768,4591,2904,7909,9596,18198,3,
0.66408,21,25000,0.48736,1990,6408,10510,6092,7987,4,
0.50332,21,25000,0.02728,258,12159,12242,341,5760,chi2,
0.65512,21,25000,0.464,1922,6700,10578,5800,2047,inf,
0.6592,26,25000,0.46672,1854,6666,10646,5834,1655,1,
0.70764,26,25000,0.78736,4651,2658,7849,9842,4444,2,
0.70496,26,25000,0.78536,4693,2683,7807,9817,22758,3,
0.6974,26,25000,0.76272,4599,2966,7901,9534,22626,4,
0.5768,26,25000,0.26968,1451,9129,11049,3371,3609,chi2,
0.68884,26,25000,0.74088,4540,3239,7960,9261,2286,inf,
0.66508,31,25000,0.4704,1753,6620,10747,5880,1616,1,
0.671,31,25000,0.48848,1831,6394,10669,6106,1680,2,
0.6648,31,25000,0.46896,1742,6638,10758,5862,6914,3,
0.6582,31,25000,0.4512,1685,6860,10815,5640,7153,4,
0.489,31,25000,0.9316,11920,855,580,11645,9533,chi2,
0.68592,31,25000,0.7492,4717,3135,7783,9365,2219,inf,
0.711,36,25000,0.7912,4615,2610,7885,9890,3597,1,
0.70792,36,25000,0.79808,4778,2524,7722,9976,3793,2,
0.70204,36,25000,0.78472,4758,2691,7742,9809,18313,3,
0.66324,36,25000,0.46424,1722,6697,10778,5803,7075,4,
0.48564,36,25000,0.3304,4489,8370,8011,4130,3603,chi2,
0.6512,36,25000,0.442,1745,6975,10755,5525,1126,inf,
0.66332,41,25000,0.45272,1576,6841,10924,5659,1621,1,
0.70892,41,25000,0.804,4827,2450,7673,10050,3826,2,
0.70276,41,25000,0.78672,4765,2666,7735,9834,18920,3,
0.65908,41,25000,0.45208,1674,6849,10826,5651,7237,4,
0.47532,41,25000,0.92832,12221,896,279,11604,11799,chi2,
0.68756,41,25000,0.7588,4796,3015,7704,9485,2471,inf,
0.66304,46,25000,0.45504,1612,6812,10888,5688,1573,1,
0.70864,46,25000,0.8044,4839,2445,7661,10055,3810,2,
0.66436,46,25000,0.4648,1701,6690,10799,5810,7177,3,
0.69896,46,25000,0.77776,4748,2778,7752,9722,19874,4,
0.49972,46,25000,0.00344,50,12457,12450,43,3690,chi2,
0.64724,46,25000,0.4292,1684,7135,10816,5365,1213,inf,
0.71148,51,25000,0.79064,4596,2617,7904,9883,4643,1,
0.66356,51,25000,0.45288,1572,6839,10928,5661,2230,2,
0.70052,51,25000,0.7892,4852,2635,7648,9865,22260,3,
0.69736,51,25000,0.78032,4820,2746,7680,9754,21635,4,
0.56476,51,25000,0.2728,1791,9090,10709,3410,4441,chi2,
0.63404,51,25000,0.396,1599,7550,10901,4950,1570,inf,
0.66188,56,25000,0.4404,1458,6995,11042,5505,1833,1,
0.66516,56,25000,0.45184,1519,6852,10981,5648,3027,2,
