accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo,norma
0.7062,10,20,25000,0.73592,4044,3301,8456,9199,4533,1
0.70332,10,20,25000,0.73592,4116,3301,8384,9199,4637,2
0.70212,10,20,25000,0.73608,4148,3299,8352,9201,26470,3
0.6972,10,20,25000,0.73192,4219,3351,8281,9149,30980,4
0.50416,10,20,25000,0.98656,12228,168,272,12332,13037,chi2
0.69116,10,20,25000,0.7216,4241,3480,8259,9020,2595,inf
0.71556,15,20,25000,0.74912,3975,3136,8525,9364,6777,1
0.713,15,20,25000,0.75536,4117,3058,8383,9442,6953,2
0.7058,15,20,25000,0.75424,4283,3072,8217,9428,40261,3
0.7078,15,20,25000,0.75344,4223,3082,8277,9418,43746,4
0.51344,15,20,25000,0.27456,3096,9068,9404,3432,15666,chi2
0.69772,15,20,25000,0.73704,4270,3287,8230,9213,4476,inf
0.71436,20,20,25000,0.75368,4062,3079,8438,9421,9770,1
0.70996,20,20,25000,0.75688,4212,3039,8288,9461,9065,2
0.7076,20,20,25000,0.75424,4238,3072,8262,9428,77368,3
0.70232,20,20,25000,0.74368,4238,3204,8262,9296,79682,4
0.50036,20,20,25000,0.01992,240,12251,12260,249,17679,chi2
0.6886,20,20,25000,0.73256,4442,3343,8058,9157,5399,inf
0.72004,25,20,25000,0.75144,3892,3107,8608,9393,11450,1
0.71548,25,20,25000,0.7512,4003,3110,8497,9390,11771,2
0.71044,25,20,25000,0.74584,4062,3177,8438,9323,80784,3
0.70608,25,20,25000,0.7464,4178,3170,8322,9330,73137,4
0.49644,25,20,25000,0.02976,461,12128,12039,372,21883,chi2
0.69384,25,20,25000,0.72672,4238,3416,8262,9084,7356,inf
0.71332,30,20,25000,0.75144,4060,3107,8440,9393,14154,1
0.7086,30,20,25000,0.74976,4157,3128,8343,9372,19050,2
0.7062,30,20,25000,0.74896,4207,3138,8293,9362,92992,3
0.69984,30,20,25000,0.73888,4240,3264,8260,9236,83059,4
0.50048,30,20,25000,0.96776,12085,403,415,12097,21932,chi2
0.67852,30,20,25000,0.7248,4597,3440,7903,9060,7541,inf
0.70984,35,20,25000,0.73984,4002,3252,8498,9248,17890,1
0.70656,35,20,25000,0.74512,4150,3186,8350,9314,18660,2
0.70028,35,20,25000,0.73952,4237,3256,8263,9244,116270,3
0.69512,35,20,25000,0.73848,4353,3269,8147,9231,83355,4
0.50484,35,20,25000,0.0264,209,12170,12291,330,18442,chi2
0.67692,35,20,25000,0.72424,4630,3447,7870,9053,8044,inf
0.71332,40,20,25000,0.74288,3953,3214,8547,9286,16737,1
0.70576,40,20,25000,0.73992,4105,3251,8395,9249,16955,2
0.70476,40,20,25000,0.74368,4177,3204,8323,9296,98879,3
0.69984,40,20,25000,0.73816,4231,3273,8269,9227,109555,4
0.47824,40,20,25000,0.20624,3122,9922,9378,2578,20052,chi2
0.66952,40,20,25000,0.72352,4806,3456,7694,9044,9098,inf
0.71224,45,20,25000,0.75176,4091,3103,8409,9397,17625,1
0.70696,45,20,25000,0.7496,4196,3130,8304,9370,22521,2
0.70748,45,20,25000,0.7548,4248,3065,8252,9435,132848,3
0.69304,45,20,25000,0.7464,4504,3170,7996,9330,221926,4
0.41176,45,20,25000,0.36064,6714,7992,5786,4508,38650,chi2
0.66684,45,20,25000,0.72672,4913,3416,7587,9084,20897,inf
