accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.5595,1,8,10000,0.569075,2234,2171,2728,2867,1287,0.562047
0.7518,11,8,10000,0.763398,1290,1192,3672,3846,6601,0.748832
0.7366,21,8,10000,0.740373,1326,1308,3636,3730,12332,0.737737
0.7271,32,8,10000,0.736403,1401,1328,3561,3710,19884,0.725885
0.4962,42,8,10000,0,0,5038,4962,0,187,-nan
0.7144,53,8,10000,0.715363,1422,1434,3540,3604,29200,0.717071
0.7089,63,8,10000,0.708813,1444,1467,3518,3571,33977,0.712064
0.704,74,8,10000,0.703851,1468,1492,3494,3546,40835,0.70722
0.7084,84,8,10000,0.704049,1425,1491,3537,3547,45319,0.713395
0.7074,95,8,10000,0.710996,1470,1456,3492,3582,53551,0.709026
0.6979,105,8,10000,0.694522,1482,1539,3480,3499,57902,0.702469
0.6919,116,8,10000,0.689162,1515,1566,3447,3472,61863,0.69621
0.693,126,8,10000,0.686185,1489,1581,3473,3457,67098,0.698949
0.6941,137,8,10000,0.692735,1511,1548,3451,3490,87967,0.69786
0.6866,147,8,10000,0.68678,1556,1578,3406,3460,87271,0.689793
0.6835,158,8,10000,0.678841,1547,1618,3415,3420,90773,0.688544
0.6819,168,8,10000,0.681421,1576,1605,3386,3433,99985,0.685366
0.6814,179,8,10000,0.685193,1600,1586,3362,3452,115048,0.683294
0.6763,189,8,10000,0.689758,1674,1563,3288,3475,110329,0.674888
0.5669,1,15,10000,0.571854,2174,2157,2788,2881,1865,0.569931
0.7633,11,15,10000,0.781659,1267,1100,3695,3938,9082,0.75658
0.7587,21,15,10000,0.772132,1265,1148,3697,3890,12226,0.754607
0.7429,32,15,10000,0.75784,1351,1220,3611,3818,20227,0.738634
0.4962,42,15,10000,0,0,5038,4962,0,343,-nan
0.7278,53,15,10000,0.732632,1375,1347,3587,3691,36666,0.728583
0.7257,63,15,10000,0.73283,1397,1346,3565,3692,39393,0.725486
0.7257,74,15,10000,0.731243,1389,1354,3573,3684,42876,0.726198
0.7243,84,15,10000,0.722707,1360,1397,3602,3641,49253,0.728054
0.7227,95,15,10000,0.723898,1382,1391,3580,3647,54000,0.725194
0.7156,105,15,10000,0.716951,1418,1426,3544,3612,58511,0.718091
0.7149,116,15,10000,0.718936,1435,1416,3527,3622,71869,0.716235
0.7169,126,15,10000,0.715959,1400,1431,3562,3607,67559,0.720391
0.7176,137,15,10000,0.713974,1383,1441,3579,3597,73451,0.722289
0.7102,147,15,10000,0.706233,1418,1480,3544,3558,78345,0.715032
0.7037,158,15,10000,0.699682,1450,1513,3512,3525,85517,0.708543
0.7051,168,15,10000,0.707821,1477,1472,3485,3566,91493,0.707119
0.7112,179,15,10000,0.710202,1428,1460,3534,3578,100196,0.714742
0.7019,189,15,10000,0.713775,1539,1442,3423,3596,104680,0.700292
0.5703,1,22,10000,0.578007,2171,2126,2791,2912,1503,0.57289
0.7689,11,22,10000,0.79337,1270,1041,3692,3997,6889,0.758876
0.7633,21,22,10000,0.779079,1254,1113,3708,3925,12103,0.757868
0.7478,32,22,10000,0.762009,1323,1199,3639,3839,17993,0.743704
0.4962,42,22,10000,0,0,5038,4962,0,215,-nan
0.7418,53,22,10000,0.752283,1334,1248,3628,3790,29080,0.739657
0.7325,63,22,10000,0.742557,1378,1297,3584,3741,34458,0.730807
0.7332,74,22,10000,0.743152,1374,1294,3588,3744,40105,0.731536
0.7328,84,22,10000,0.739182,1358,1314,3604,3724,45670,0.732782
0.73,95,22,10000,0.729853,1339,1361,3623,3677,51791,0.733054
0.7271,105,22,10000,0.722906,1333,1396,3629,3642,54490,0.73206
0.7264,116,22,10000,0.731441,1383,1353,3579,3685,59938,0.727111
0.726,126,22,10000,0.721318,1336,1404,3626,3634,64819,0.731187
0.716,137,22,10000,0.716951,1414,1426,3548,3612,70413,0.718663
0.7206,147,22,10000,0.716157,1364,1430,3598,3608,76587,0.725664
0.7161,158,22,10000,0.717547,1416,1423,3546,3615,81329,0.718545
0.7171,168,22,10000,0.721913,1428,1401,3534,3637,88309,0.718065
0.7161,179,22,10000,0.716753,1412,1427,3550,3611,92599,0.718893
0.7165,189,22,10000,0.730647,1478,1357,3484,3681,97985,0.71351
0.5729,1,29,10000,0.581778,2164,2107,2798,2931,1369,0.57527
0.7672,11,29,10000,0.794561,1293,1035,3669,4003,6662,0.755853
0.7614,21,29,10000,0.783247,1294,1092,3668,3946,11740,0.753053
0.7535,32,29,10000,0.77372,1325,1140,3637,3898,17314,0.746314
0.4962,42,29,10000,0,0,5038,4962,0,178,-nan
0.7459,53,29,10000,0.758039,1322,1219,3640,3819,27760,0.742852
0.7378,63,29,10000,0.749901,1362,1260,3600,3778,32911,0.735019
0.7378,74,29,10000,0.751092,1368,1254,3594,3784,47710,0.734472
0.7386,84,29,10000,0.749504,1352,1262,3610,3776,47222,0.736349
0.7354,95,29,10000,0.742557,1349,1297,3613,3741,54290,0.734971
0.733,105,29,10000,0.73422,1331,1339,3631,3699,62390,0.735388
0.73,116,29,10000,0.734021,1360,1340,3602,3698,67723,0.731119
0.7319,126,29,10000,0.728265,1312,1369,3650,3669,72565,0.736599
0.7244,137,29,10000,0.724097,1366,1390,3596,3648,82158,0.727563
0.7282,147,29,10000,0.726677,1341,1377,3621,3661,86393,0.731907
0.7239,158,29,10000,0.724295,1372,1389,3590,3649,93585,0.726748
0.7215,168,29,10000,0.727471,1412,1373,3550,3665,99400,0.721883
0.7226,179,29,10000,0.723501,1381,1393,3581,3645,106375,0.725229
0.725,189,29,10000,0.739182,1436,1314,3526,3724,107671,0.721705
0.5756,1,36,10000,0.587336,2165,2079,2797,2959,1617,0.577479
0.7676,11,36,10000,0.794958,1291,1033,3671,4005,7172,0.756231
0.7677,21,36,10000,0.788805,1259,1064,3703,3974,13688,0.759411
0.758,32,36,10000,0.780667,1315,1105,3647,3933,20319,0.749428
0.4962,42,36,10000,0,0,5038,4962,0,200,-nan
0.7487,53,36,10000,0.763398,1321,1192,3641,3846,32929,0.744339
0.7401,63,36,10000,0.752283,1351,1248,3611,3790,37968,0.737211
0.7431,74,36,10000,0.756252,1341,1228,3621,3810,48312,0.739662
0.7384,84,36,10000,0.748313,1348,1268,3614,3770,54842,0.736616
0.7429,95,36,10000,0.748908,1306,1265,3656,3773,56611,0.742863
0.7348,105,36,10000,0.733227,1308,1344,3654,3694,67508,0.738505
0.738,116,36,10000,0.743549,1328,1292,3634,3746,69461,0.738274
0.736,126,36,10000,0.732632,1293,1347,3669,3691,68023,0.74057
0.7297,137,36,10000,0.728861,1337,1366,3625,3672,74067,0.73308
0.7346,147,36,10000,0.732632,1307,1347,3655,3691,80416,0.738495
0.7295,158,36,10000,0.729655,1343,1362,3619,3676,84926,0.732417
0.7268,168,36,10000,0.7368,1406,1326,3556,3712,99729,0.725283
0.7291,179,36,10000,0.733823,1368,1341,3594,3697,103966,0.729911
0.7292,189,36,10000,0.743351,1415,1293,3547,3745,101552,0.725775
0.5745,1,43,10000,0.585351,2166,2089,2796,2949,1450,0.57654
0.7685,11,43,10000,0.798928,1302,1013,3660,4025,6908,0.755585
0.7666,21,43,10000,0.789202,1272,1062,3690,3976,12191,0.757622
0.7634,32,43,10000,0.787614,1296,1070,3666,3968,17839,0.753799
0.4962,42,43,10000,0,0,5038,4962,0,198,-nan
0.7458,53,43,10000,0.760421,1335,1207,3627,3831,29047,0.74158
0.7431,63,43,10000,0.758436,1352,1217,3610,3821,34301,0.738643
0.741,74,43,10000,0.756054,1361,1229,3601,3809,40306,0.73675
0.7437,84,43,10000,0.753474,1321,1242,3641,3796,45753,0.741841
0.7444,95,43,10000,0.747519,1284,1272,3678,3766,51307,0.745743
0.7381,105,43,10000,0.739381,1306,1313,3656,3725,57320,0.740409
0.74,116,43,10000,0.744343,1312,1288,3650,3750,62118,0.740814
0.74,126,43,10000,0.735808,1269,1331,3693,3707,67615,0.744976
0.7334,137,43,10000,0.733426,1323,1343,3639,3695,73465,0.736349
0.7392,147,43,10000,0.738587,1291,1317,3671,3721,79301,0.742418
0.7327,158,43,10000,0.732235,1324,1349,3638,3689,84672,0.735887
0.7274,168,43,10000,0.737991,1406,1320,3556,3718,89945,0.725605
0.7295,179,43,10000,0.73283,1359,1346,3603,3692,95814,0.730944
0.7307,189,43,10000,0.745335,1410,1283,3552,3755,101357,0.727009
0.5789,1,50,10000,0.589123,2141,2070,2821,2968,1539,0.580936
0.7679,11,50,10000,0.796745,1297,1024,3665,4014,6945,0.75579
0.7638,21,50,10000,0.788607,1297,1065,3665,3973,12222,0.75389
0.7627,32,50,10000,0.784637,1288,1085,3674,3953,18306,0.754245
0.4962,42,50,10000,0,0,5038,4962,0,197,-nan
0.7498,53,50,10000,0.763994,1313,1189,3649,3849,29461,0.745641
0.7479,63,50,10000,0.76181,1321,1200,3641,3838,34669,0.743943
0.7408,74,50,10000,0.756451,1365,1227,3597,3811,40182,0.736283
0.747,84,50,10000,0.757245,1307,1223,3655,3815,45162,0.744826
0.7457,95,50,10000,0.752283,1295,1248,3667,3790,50954,0.745329
0.7419,105,50,10000,0.742358,1283,1298,3679,3740,57789,0.744575
0.7398,116,50,10000,0.74474,1316,1286,3646,3752,62384,0.740331
0.7392,126,50,10000,0.736403,1280,1328,3682,3710,68642,0.743487
0.7383,137,50,10000,0.739976,1307,1310,3655,3728,73548,0.740417
0.7396,147,50,10000,0.741366,1301,1303,3661,3735,78466,0.74166
0.7347,158,50,10000,0.735609,1321,1332,3641,3706,84273,0.737219
0.7325,168,50,10000,0.746328,1397,1278,3565,3760,89346,0.729106
0.735,179,50,10000,0.736205,1321,1329,3641,3709,95701,0.737376
0.7307,189,50,10000,0.751489,1441,1252,3521,3786,100798,0.724316
0.5775,1,57,10000,0.581778,2118,2107,2844,2931,1487,0.580511
0.7671,11,57,10000,0.797737,1310,1019,3652,4019,6999,0.754175
0.7656,21,57,10000,0.793966,1306,1038,3656,4000,12140,0.753864
0.7615,32,57,10000,0.78424,1298,1087,3664,3951,18315,0.752715
0.4962,42,57,10000,0,0,5038,4962,0,190,-nan
0.7517,53,57,10000,0.771933,1334,1149,3628,3889,28726,0.744591
0.7495,63,57,10000,0.763398,1313,1192,3649,3846,34158,0.745493
0.7451,74,57,10000,0.759428,1337,1212,3625,3826,39929,0.741042
0.7455,84,57,10000,0.757443,1323,1222,3639,3816,45157,0.742557
0.7451,95,57,10000,0.751092,1295,1254,3667,3784,51426,0.745029
0.741,105,57,10000,0.743351,1297,1293,3665,3745,56917,0.742761
0.7428,116,57,10000,0.749702,1311,1261,3651,3777,62667,0.742335
0.7395,126,57,10000,0.736205,1276,1329,3686,3709,67400,0.744032
0.7409,137,57,10000,0.743748,1300,1291,3662,3747,73589,0.742421
0.7411,147,57,10000,0.747519,1317,1272,3645,3766,78352,0.740901
0.7402,158,57,10000,0.742557,1301,1297,3661,3741,85395,0.741967
0.7353,168,57,10000,0.750099,1388,1259,3574,3779,90704,0.731372
0.7371,179,57,10000,0.743549,1337,1292,3625,3746,96183,0.736966
0.7336,189,57,10000,0.755855,1434,1230,3528,3808,101304,0.72644
0.5782,1,64,10000,0.586741,2136,2082,2826,2956,1493,0.580518
0.7657,11,64,10000,0.796546,1318,1025,3644,4013,6921,0.752767
0.7647,21,64,10000,0.790592,1298,1055,3664,3983,12103,0.754213
0.7601,32,64,10000,0.78285,1305,1094,3657,3944,17966,0.751381
0.4962,42,64,10000,0,0,5038,4962,0,193,-nan
0.7521,53,64,10000,0.772529,1333,1146,3629,3892,29111,0.74488
0.7487,63,64,10000,0.763398,1321,1192,3641,3846,34819,0.744339
0.7474,74,64,10000,0.761612,1325,1201,3637,3837,40673,0.743317
0.7485,84,64,10000,0.761413,1313,1202,3649,3836,45828,0.744999
0.7483,95,64,10000,0.752283,1269,1248,3693,3790,51992,0.74916
0.7439,105,64,10000,0.747717,1290,1271,3672,3767,56744,0.744908
0.7426,116,64,10000,0.752283,1326,1248,3636,3790,62052,0.740813
0.7399,126,64,10000,0.73819,1282,1319,3680,3719,67137,0.743651
0.743,137,64,10000,0.745534,1288,1282,3674,3756,74144,0.744647
0.742,147,64,10000,0.748114,1311,1269,3651,3769,79724,0.741929
0.7398,158,64,10000,0.744541,1315,1287,3647,3751,86280,0.740426
0.7417,168,64,10000,0.758634,1367,1216,3595,3822,90738,0.736558
0.7368,179,64,10000,0.744938,1347,1285,3615,3753,96711,0.735882
0.7339,189,64,10000,0.755855,1431,1230,3531,3808,103070,0.726856
0.5769,1,71,10000,0.586741,2149,2082,2813,2956,1505,0.57904
0.7669,11,71,10000,0.799524,1321,1010,3641,4028,7021,0.753038
0.764,21,71,10000,0.790195,1303,1057,3659,3981,12428,0.753407
0.7621,32,71,10000,0.78821,1312,1067,3650,3971,18232,0.751656
0.4962,42,71,10000,0,0,5038,4962,0,199,-nan
0.7534,53,71,10000,0.776499,1340,1126,3622,3912,29537,0.744859
0.7474,63,71,10000,0.762803,1331,1195,3631,3843,34690,0.742752
0.7461,74,71,10000,0.760818,1334,1205,3628,3833,40445,0.741823
0.7487,84,71,10000,0.760818,1308,1205,3654,3833,45707,0.745575
0.7472,95,71,10000,0.753672,1287,1241,3675,3797,51835,0.746853
0.7462,105,71,10000,0.75268,1292,1246,3670,3792,56123,0.745869
0.7435,116,71,10000,0.751092,1311,1254,3651,3784,62367,0.742689
0.7447,126,71,10000,0.745732,1272,1281,3690,3757,68627,0.747067
0.7434,137,71,10000,0.746725,1290,1276,3672,3762,74117,0.744656
0.7437,147,71,10000,0.750298,1305,1258,3657,3780,78635,0.743363
0.7446,158,71,10000,0.750496,1297,1257,3665,3781,84454,0.744584
0.7425,168,71,10000,0.756848,1350,1225,3612,3813,90286,0.738524
0.7375,179,71,10000,0.747122,1351,1274,3611,3764,101659,0.735875
0.7347,189,71,10000,0.758634,1437,1216,3525,3822,108356,0.726754
0.578,1,78,10000,0.588329,2146,2074,2816,2964,1545,0.580039
0.7695,11,78,10000,0.802501,1310,995,3652,4043,7908,0.755277
0.7622,21,78,10000,0.788408,1312,1066,3650,3972,12799,0.751703
0.7612,32,78,10000,0.784637,1303,1085,3659,3953,19853,0.752093
0.4962,42,78,10000,0,0,5038,4962,0,193,-nan
