accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.738,6,12,2500,0.751436,352,303,929,916,28.1495025158
0.7612,11,12,2500,0.776866,325,272,956,947,32.0689506531
0.7572,17,12,2500,0.7621,317,290,964,929,31.8186471462
0.752,22,12,2500,0.749795,315,305,966,914,31.558044672
0.7456,28,12,2500,0.757998,341,295,940,924,35.0065248013
0.7448,33,12,2500,0.7621,348,290,933,929,39.6526048183
0.7404,39,12,2500,0.750615,345,304,936,915,41.3158988953
0.7332,44,12,2500,0.748154,360,307,921,912,43.9844257832
0.7444,6,23,2500,0.773585,363,276,918,943,24.0331640244
0.7696,11,23,2500,0.794094,325,251,956,968,25.4259068966
0.7628,17,23,2500,0.778507,323,270,958,949,29.0844707489
0.7556,22,23,2500,0.781788,345,266,936,953,36.6486859322
0.7532,28,23,2500,0.779327,348,269,933,950,35.0613224506
0.7528,33,23,2500,0.776046,345,273,936,946,37.8192334175
0.7436,39,23,2500,0.7621,351,290,930,929,40.6579885483
0.7428,44,23,2500,0.759639,350,293,931,926,43.5161864758
0.7524,6,34,2500,0.774405,344,275,937,944,22.2225904465
0.7744,11,34,2500,0.807219,329,235,952,984,25.1589398384
0.7652,17,34,2500,0.78671,327,260,954,959,28.3922100067
0.7672,22,34,2500,0.788351,324,258,957,961,31.2029671669
0.7604,28,34,2500,0.774405,324,275,957,944,34.6466364861
0.7624,39,34,2500,0.774405,319,275,962,944,41.2027416229
0.75,44,34,2500,0.765381,339,286,942,933,43.7952616215
0.7528,6,45,2500,0.771124,339,279,942,940,22.1898753643
0.7692,11,45,2500,0.802297,336,241,945,978,25.1422638893
0.7712,17,45,2500,0.790812,317,255,964,964,28.6959340572
0.77,22,45,2500,0.797375,328,247,953,972,31.3628036976
0.7636,28,45,2500,0.787531,332,259,949,960,34.7736442089
0.7588,33,45,2500,0.780968,336,267,945,952,37.3678936958
0.7528,39,45,2500,0.764561,331,287,950,932,44.6694574356
0.7524,44,45,2500,0.766202,334,285,947,934,44.8916459084
0.752,6,56,2500,0.775226,346,274,935,945,22.2245409489
0.7676,11,56,2500,0.802297,340,241,941,978,28.191123724
0.7668,17,56,2500,0.798195,337,246,944,973,28.3201198578
0.774,22,56,2500,0.791632,311,254,970,965,30.7648046017
0.7684,28,56,2500,0.792453,326,253,955,966,34.1814539433
0.7588,33,56,2500,0.777687,332,271,949,948,36.7482206821
0.7608,39,56,2500,0.766202,313,285,968,934,40.5659849644
0.7544,44,56,2500,0.767022,330,284,951,935,43.0533630848
0.7556,6,67,2500,0.780148,343,268,938,951,21.3112192154
0.774,11,67,2500,0.80968,333,232,948,987,24.1944727898
0.7712,17,67,2500,0.796555,324,248,957,971,28.4754083157
0.7728,22,67,2500,0.802297,327,241,954,978,30.0357260704
0.7632,28,67,2500,0.78589,331,261,950,958,34.3328030109
0.7648,33,67,2500,0.797375,341,247,940,972,36.7860352993
0.764,39,67,2500,0.774405,315,275,966,944,40.2896575928
0.7568,44,67,2500,0.780968,341,267,940,952,42.7326190472
0.7584,6,78,2500,0.792453,351,253,930,966,21.7513403893
0.7556,11,78,2500,0.812141,382,229,899,990,24.9231190681
0.7704,17,78,2500,0.799016,329,245,952,974,28.9456915855
0.768,22,78,2500,0.798195,334,246,947,973,30.556081295
0.7648,28,78,2500,0.781788,322,266,959,953,34.2012295723
0.7608,33,78,2500,0.780968,331,267,950,952,36.7050423622
0.7624,39,78,2500,0.78671,334,260,947,959,40.667327404
0.7556,44,78,2500,0.772765,334,277,947,942,42.9963407516
0.7628,6,89,2500,0.796555,345,248,936,971,21.3355612755
0.7684,11,89,2500,0.801477,337,242,944,977,24.1855170727
0.778,17,89,2500,0.808039,321,234,960,985,28.2524220943
0.7676,22,89,2500,0.799016,336,245,945,974,30.5893349648
0.7612,28,89,2500,0.781788,331,266,950,953,34.1166291237
0.7592,33,89,2500,0.782609,337,265,944,954,38.1310582161
0.7544,39,89,2500,0.775226,340,274,941,945,40.2974300385
0.7532,44,89,2500,0.774405,342,275,939,944,43.14017272
