accuracy,k,max_vocab_freq,testing entries,tiempo,metodo
0.777,15.214285714285714,0.15714285714285714,2000,31008,KNN
0.742,15.214285714285714,0.15714285714285714,2000,5410,Inverted Index KNN
0.779,15.214285714285714,0.2142857142857143,2000,35066,KNN
0.76,15.214285714285714,0.2142857142857143,2000,8505,Inverted Index KNN
0.7795,15.214285714285714,0.27142857142857146,2000,38790,KNN
0.7635,15.214285714285714,0.27142857142857146,2000,11169,Inverted Index KNN
0.7855,15.214285714285714,0.3285714285714286,2000,41483,KNN
0.76,15.214285714285714,0.3285714285714286,2000,13278,Inverted Index KNN
0.788,15.214285714285714,0.3857142857142858,2000,43681,KNN
0.771,15.214285714285714,0.3857142857142858,2000,16553,Inverted Index KNN
0.773,15.214285714285714,0.44285714285714284,2000,46590,KNN
0.7545,15.214285714285714,0.44285714285714284,2000,22027,Inverted Index KNN
0.7595,15.214285714285714,0.5,2000,48057,KNN
0.751,15.214285714285714,0.5,2000,23678,Inverted Index KNN
0.755,15.214285714285714,0.5571428571428572,2000,49006,KNN
0.756,15.214285714285714,0.5571428571428572,2000,28219,Inverted Index KNN
0.7435,15.214285714285714,0.6142857142857143,2000,51525,KNN
0.7425,15.214285714285714,0.6142857142857143,2000,32235,Inverted Index KNN
0.7345,15.214285714285714,0.6714285714285715,2000,52357,KNN
0.7265,15.214285714285714,0.6714285714285715,2000,33897,Inverted Index KNN
0.732,15.214285714285714,0.7285714285714286,2000,53295,KNN
0.726,15.214285714285714,0.7285714285714286,2000,34985,Inverted Index KNN
0.732,15.214285714285714,0.7857142857142857,2000,53162,KNN
0.726,15.214285714285714,0.7857142857142857,2000,35473,Inverted Index KNN
0.74,15.214285714285714,0.8428571428571429,2000,53683,KNN
0.738,15.214285714285714,0.8428571428571429,2000,37849,Inverted Index KNN
0.7885,29.428571428571427,0.15714285714285714,2000,31279,KNN
0.7445,29.428571428571427,0.15714285714285714,2000,5467,Inverted Index KNN
0.79,29.428571428571427,0.2142857142857143,2000,35095,KNN
0.777,29.428571428571427,0.2142857142857143,2000,8533,Inverted Index KNN
0.7985,29.428571428571427,0.27142857142857146,2000,38782,KNN
0.782,29.428571428571427,0.27142857142857146,2000,11180,Inverted Index KNN
0.8005,29.428571428571427,0.3285714285714286,2000,41423,KNN
0.7755,29.428571428571427,0.3285714285714286,2000,13301,Inverted Index KNN
0.7905,29.428571428571427,0.3857142857142858,2000,43481,KNN
0.7725,29.428571428571427,0.3857142857142858,2000,16491,Inverted Index KNN
0.78,29.428571428571427,0.44285714285714284,2000,45946,KNN
0.776,29.428571428571427,0.44285714285714284,2000,21757,Inverted Index KNN
0.765,29.428571428571427,0.5,2000,47936,KNN
0.756,29.428571428571427,0.5,2000,23840,Inverted Index KNN
0.7675,29.428571428571427,0.5571428571428572,2000,49124,KNN
0.767,29.428571428571427,0.5571428571428572,2000,28007,Inverted Index KNN
0.7545,29.428571428571427,0.6142857142857143,2000,51138,KNN
0.7455,29.428571428571427,0.6142857142857143,2000,32154,Inverted Index KNN
0.7495,29.428571428571427,0.6714285714285715,2000,52261,KNN
0.739,29.428571428571427,0.6714285714285715,2000,34048,Inverted Index KNN
0.7385,29.428571428571427,0.7285714285714286,2000,53784,KNN
0.743,29.428571428571427,0.7285714285714286,2000,35294,Inverted Index KNN
0.7385,29.428571428571427,0.7857142857142857,2000,53221,KNN
0.743,29.428571428571427,0.7857142857142857,2000,35159,Inverted Index KNN
0.742,29.428571428571427,0.8428571428571429,2000,53707,KNN
0.7355,29.428571428571427,0.8428571428571429,2000,37811,Inverted Index KNN
0.797,43.64285714285714,0.15714285714285714,2000,31461,KNN
0.746,43.64285714285714,0.15714285714285714,2000,5506,Inverted Index KNN
0.79,43.64285714285714,0.2142857142857143,2000,35273,KNN
0.7735,43.64285714285714,0.2142857142857143,2000,8467,Inverted Index KNN
0.808,43.64285714285714,0.27142857142857146,2000,38807,KNN
0.779,43.64285714285714,0.27142857142857146,2000,11216,Inverted Index KNN
0.8035,43.64285714285714,0.3285714285714286,2000,41652,KNN
0.7685,43.64285714285714,0.3285714285714286,2000,13262,Inverted Index KNN
0.806,43.64285714285714,0.3857142857142858,2000,43304,KNN
0.7855,43.64285714285714,0.3857142857142858,2000,16522,Inverted Index KNN
0.7905,43.64285714285714,0.44285714285714284,2000,46108,KNN
0.773,43.64285714285714,0.44285714285714284,2000,21906,Inverted Index KNN
0.778,43.64285714285714,0.5,2000,48091,KNN
0.767,43.64285714285714,0.5,2000,23869,Inverted Index KNN
0.7715,43.64285714285714,0.5571428571428572,2000,49005,KNN
0.765,43.64285714285714,0.5571428571428572,2000,28056,Inverted Index KNN
0.763,43.64285714285714,0.6142857142857143,2000,51215,KNN
0.746,43.64285714285714,0.6142857142857143,2000,32071,Inverted Index KNN
0.7385,43.64285714285714,0.6714285714285715,2000,52280,KNN
0.7355,43.64285714285714,0.6714285714285715,2000,33947,Inverted Index KNN
0.7395,43.64285714285714,0.7285714285714286,2000,53255,KNN
0.737,43.64285714285714,0.7285714285714286,2000,35049,Inverted Index KNN
0.7395,43.64285714285714,0.7857142857142857,2000,53349,KNN
0.737,43.64285714285714,0.7857142857142857,2000,35269,Inverted Index KNN
0.741,43.64285714285714,0.8428571428571429,2000,53922,KNN
0.7375,43.64285714285714,0.8428571428571429,2000,37760,Inverted Index KNN
0.7885,57.857142857142854,0.15714285714285714,2000,31637,KNN
0.7575,57.857142857142854,0.15714285714285714,2000,5449,Inverted Index KNN
0.8035,57.857142857142854,0.2142857142857143,2000,35001,KNN
0.779,57.857142857142854,0.2142857142857143,2000,8563,Inverted Index KNN
0.8105,57.857142857142854,0.27142857142857146,2000,38740,KNN
0.782,57.857142857142854,0.27142857142857146,2000,11215,Inverted Index KNN
0.8045,57.857142857142854,0.3285714285714286,2000,41856,KNN
0.7715,57.857142857142854,0.3285714285714286,2000,13412,Inverted Index KNN
0.8065,57.857142857142854,0.3857142857142858,2000,43531,KNN
0.791,57.857142857142854,0.3857142857142858,2000,16551,Inverted Index KNN
0.79,57.857142857142854,0.44285714285714284,2000,46084,KNN
0.7775,57.857142857142854,0.44285714285714284,2000,21865,Inverted Index KNN
0.777,57.857142857142854,0.5,2000,48248,KNN
0.766,57.857142857142854,0.5,2000,23728,Inverted Index KNN
0.7825,57.857142857142854,0.5571428571428572,2000,49156,KNN
0.7645,57.857142857142854,0.5571428571428572,2000,28196,Inverted Index KNN
0.754,57.857142857142854,0.6142857142857143,2000,51382,KNN
0.7515,57.857142857142854,0.6142857142857143,2000,32176,Inverted Index KNN
0.739,57.857142857142854,0.6714285714285715,2000,52710,KNN
0.7325,57.857142857142854,0.6714285714285715,2000,34179,Inverted Index KNN
0.7375,57.857142857142854,0.7285714285714286,2000,53345,KNN
0.737,57.857142857142854,0.7285714285714286,2000,35320,Inverted Index KNN
0.7375,57.857142857142854,0.7857142857142857,2000,53402,KNN
0.737,57.857142857142854,0.7857142857142857,2000,35226,Inverted Index KNN
0.7395,57.857142857142854,0.8428571428571429,2000,53866,KNN
0.738,57.857142857142854,0.8428571428571429,2000,37693,Inverted Index KNN
0.798,72.07142857142857,0.15714285714285714,2000,31509,KNN
0.7585,72.07142857142857,0.15714285714285714,2000,5450,Inverted Index KNN
0.81,72.07142857142857,0.2142857142857143,2000,35146,KNN
0.78,72.07142857142857,0.2142857142857143,2000,8503,Inverted Index KNN
0.8085,72.07142857142857,0.27142857142857146,2000,38823,KNN
