accuracy,k,testing entries,tiempo,metodo
0.6115,15,2000,368118,PCA+KNN
0.784,15,2000,25515,KNN
0.649,29,2000,367963,PCA+KNN
0.7995,29,2000,25614,KNN
0.6815,43,2000,367496,PCA+KNN
0.813,43,2000,25569,KNN
0.693,57,2000,368181,PCA+KNN
0.8235,57,2000,25697,KNN
0.703,72,2000,367616,PCA+KNN
0.826,72,2000,25652,KNN
0.7195,86,2000,368547,PCA+KNN
0.824,86,2000,25536,KNN
0.717,100,2000,368033,PCA+KNN
0.83,100,2000,25643,KNN
0.721,114,2000,368141,PCA+KNN
0.83,114,2000,25555,KNN
0.723,128,2000,368395,PCA+KNN
0.832,128,2000,25854,KNN
0.732,143,2000,367807,PCA+KNN
0.8215,143,2000,25620,KNN
0.732,157,2000,367995,PCA+KNN
0.8285,157,2000,25731,KNN
0.7225,171,2000,368032,PCA+KNN
0.8235,171,2000,25630,KNN
0.724,185,2000,367799,PCA+KNN
0.828,185,2000,25785,KNN
