accuracy,alpha,k,testing entries
0.6115,20,6,2000,18.27741289138794
0.6025,30,6,2000,21.39559507369995
0.6275,40,6,2000,25.264872789382935
0.613,20,11,2000,17.44477343559265
0.619,30,11,2000,21.407196044921875
0.6375,40,11,2000,25.477861166000366
0.6185,20,17,2000,17.63694405555725
0.614,30,17,2000,21.47458505630493
0.6405,40,17,2000,26.104567527770996
0.6055,20,22,2000,17.73737907409668
0.6225,30,22,2000,21.476255655288696
0.649,40,22,2000,25.28497624397278
0.614,20,28,2000,17.81678581237793
0.633,30,28,2000,21.511759757995605
0.636,40,28,2000,25.34576940536499
0.6275,20,33,2000,17.759387493133545
0.6235,30,33,2000,21.652934074401855
0.644,40,33,2000,25.49632740020752
0.613,20,39,2000,17.776921272277832
0.632,30,39,2000,21.616291522979736
0.6385,40,39,2000,25.31538701057434
0.6325,20,44,2000,19.348419904708862
0.641,30,44,2000,21.338796138763428
0.6485,40,44,2000,26.688663721084595
