accuracy,alpha,k,testing entries
0.45,6,6,20
0.4,11,6,20
0.5,17,6,20
0.45,22,6,20
0.45,28,6,20
0.4,33,6,20
0.35,39,6,20
0.4,44,6,20
0.5,6,11,20
0.55,11,11,20
0.4,17,11,20
0.5,22,11,20
0.25,28,11,20
0.3,33,11,20
0.35,39,11,20
0.4,44,11,20
0.55,6,17,20
0.55,11,17,20
0.55,17,17,20
0.45,22,17,20
0.45,28,17,20
0.55,33,17,20
0.55,39,17,20
0.55,44,17,20
0.55,6,22,20
0.55,11,22,20
0.55,17,22,20
0.55,22,22,20
0.55,28,22,20
0.55,33,22,20
0.55,39,22,20
0.55,44,22,20
0.55,6,28,20
0.55,11,28,20
0.55,17,28,20
0.55,22,28,20
0.55,28,28,20
0.55,33,28,20
0.55,39,28,20
0.55,44,28,20
0.55,6,33,20
0.55,11,33,20
0.55,17,33,20
0.55,22,33,20
0.55,28,33,20
0.55,33,33,20
0.55,39,33,20
0.55,44,33,20
0.55,6,39,20
0.55,11,39,20
0.55,17,39,20
0.55,22,39,20
0.55,28,39,20
0.55,33,39,20
0.55,39,39,20
0.55,44,39,20
0.55,6,44,20
0.55,11,44,20
0.55,17,44,20
0.55,22,44,20
0.55,28,44,20
0.55,33,44,20
0.55,39,44,20
0.55,44,44,20
