accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.74216,15.214285714285714,8,25000,0.73392,3120,3326,9380,9174,17004
0.66496,29.428571428571427,8,25000,0.83008,6252,2124,6248,10376,9248
0.71632,43.64285714285714,8,25000,0.6756,3037,4055,9463,8445,43769
0.70992,57.857142857142854,8,25000,0.65176,2899,4353,9601,8147,57018
0.70452,72.07142857142857,8,25000,0.65256,3044,4343,9456,8157,71501
0.69652,86.28571428571428,8,25000,0.63192,2986,4601,9514,7899,84870
0.69136,100.5,8,25000,0.61576,2913,4803,9587,7697,98403
0.6096,114.71428571428571,8,25000,0.84576,7832,1928,4668,10572,34839
0.6804,128.92857142857142,8,25000,0.58904,2853,5137,9647,7363,124827
0.60812,143.14285714285714,8,25000,0.84792,7896,1901,4604,10599,43561
0.60524,157.35714285714286,8,25000,0.84688,7955,1914,4545,10586,47719
0.60248,171.57142857142856,8,25000,0.84896,8050,1888,4450,10612,51840
0.6036,185.78571428571428,8,25000,0.85384,8083,1827,4417,10673,55839
0.7548,15.214285714285714,15,25000,0.75048,3011,3119,9489,9381,17015
0.66956,29.428571428571427,15,25000,0.86152,6530,1731,5970,10769,18205
0.73308,43.64285714285714,15,25000,0.69072,2807,3866,9693,8634,47416
0.72588,57.857142857142854,15,25000,0.6616,2623,4230,9877,8270,57485
0.72076,72.07142857142857,15,25000,0.65064,2614,4367,9886,8133,71490
0.71328,86.28571428571428,15,25000,0.62848,2524,4644,9976,7856,84827
0.70696,100.5,15,25000,0.61,2451,4875,10049,7625,98201
0.59904,114.71428571428571,15,25000,0.90808,8875,1149,3625,11351,34944
0.69516,128.92857142857142,15,25000,0.57568,2317,5304,10183,7196,124931
0.592,143.14285714285714,15,25000,0.91224,9103,1097,3397,11403,43320
0.5908,157.35714285714286,15,25000,0.91344,9148,1082,3352,11418,47543
0.5886,171.57142857142856,15,25000,0.91704,9248,1037,3252,11463,51759
0.5854,185.78571428571428,15,25000,0.91328,9281,1084,3219,11416,55509
0.7604,15.214285714285714,22,25000,0.75824,2968,3022,9532,9478,17071
0.67332,29.428571428571427,22,25000,0.88256,6699,1468,5801,11032,9424
0.73856,43.64285714285714,22,25000,0.69464,2719,3817,9781,8683,43646
0.73172,57.857142857142854,22,25000,0.66776,2554,4153,9946,8347,57084
0.72808,72.07142857142857,22,25000,0.65344,2466,4332,10034,8168,71696
0.7216,86.28571428571428,22,25000,0.63024,2338,4622,10162,7878,84997
0.71716,100.5,22,25000,0.6124,2226,4845,10274,7655,98501
0.59064,114.71428571428571,22,25000,0.9284,9339,895,3161,11605,34873
0.70124,128.92857142857142,22,25000,0.57216,2121,5348,10379,7152,124874
0.58336,143.14285714285714,22,25000,0.93528,9607,809,2893,11691,43432
0.58132,157.35714285714286,22,25000,0.9368,9677,790,2823,11710,47661
0.5788,171.57142857142856,22,25000,0.94,9780,750,2720,11750,51617
0.57716,185.78571428571428,22,25000,0.93864,9804,767,2696,11733,55755
0.76128,15.214285714285714,29,25000,0.758,2943,3025,9557,9475,17088
0.66732,29.428571428571427,29,25000,0.89392,6991,1326,5509,11174,9347
0.74256,43.64285714285714,29,25000,0.6972,2651,3785,9849,8715,43788
0.73652,57.857142857142854,29,25000,0.66896,2449,4138,10051,8362,57287
0.73052,72.07142857142857,29,25000,0.65,2362,4375,10138,8125,71447
0.72344,86.28571428571428,29,25000,0.62096,2176,4738,10324,7762,84826
0.7208,100.5,29,25000,0.60432,2034,4946,10466,7554,98321
0.57552,114.71428571428571,29,25000,0.94536,9929,683,2571,11817,34883
0.70432,128.92857142857142,29,25000,0.56232,1921,5471,10579,7029,124913
0.56664,143.14285714285714,29,25000,0.95576,10281,553,2219,11947,43503
0.56332,157.35714285714286,29,25000,0.9592,10407,510,2093,11990,47471
0.56168,171.57142857142856,29,25000,0.96032,10462,496,2038,12004,51793
0.5596,185.78571428571428,29,25000,0.95888,10496,514,2004,11986,55649
0.76236,15.214285714285714,36,25000,0.75944,2934,3007,9566,9493,17123
0.6672,29.428571428571427,36,25000,0.90224,7098,1222,5402,11278,9355
0.74308,43.64285714285714,36,25000,0.69472,2607,3816,9893,8684,43904
0.74144,57.857142857142854,36,25000,0.67352,2383,4081,10117,8419,57078
0.73464,72.07142857142857,36,25000,0.65056,2266,4368,10234,8132,71651
0.72792,86.28571428571428,36,25000,0.62256,2084,4718,10416,7782,84792
0.7214,100.5,36,25000,0.59976,1962,5003,10538,7497,98263
0.56936,114.71428571428571,36,25000,0.95656,10223,543,2277,11957,34944
0.70788,128.92857142857142,36,25000,0.55912,1792,5511,10708,6989,125139
0.56044,143.14285714285714,36,25000,0.96552,10558,431,1942,12069,43378
0.55536,157.35714285714286,36,25000,0.9668,10701,415,1799,12085,47565
0.55336,171.57142857142856,36,25000,0.96976,10788,378,1712,12122,51788
0.55084,185.78571428571428,36,25000,0.96944,10847,382,1653,12118,55633
0.762,15.214285714285714,43,25000,0.75944,2943,3007,9557,9493,17262
0.66216,29.428571428571427,43,25000,0.90888,7307,1139,5193,11361,9408
0.74752,43.64285714285714,43,25000,0.69688,2523,3789,9977,8711,46624
0.74248,57.857142857142854,43,25000,0.67048,2319,4119,10181,8381,70897
0.7366,72.07142857142857,43,25000,0.64712,2174,4411,10326,8089,72040
0.73032,86.28571428571428,43,25000,0.61752,1961,4781,10539,7719,85356
0.72388,100.5,43,25000,0.59488,1839,5064,10661,7436,98878
0.55784,114.71428571428571,43,25000,0.96952,10673,381,1827,12119,34966
0.7088,128.92857142857142,43,25000,0.55096,1667,5613,10833,6887,140906
0.54704,143.14285714285714,43,25000,0.97464,11007,317,1493,12183,43635
0.54308,157.35714285714286,43,25000,0.9764,11128,295,1372,12205,50925
0.54132,171.57142857142856,43,25000,0.97848,11198,269,1302,12231,59131
0.54012,185.78571428571428,43,25000,0.97816,11224,273,1276,12227,62888
0.76392,15.214285714285714,50,25000,0.76192,2926,2976,9574,9524,20232
0.66048,29.428571428571427,50,25000,0.91512,7427,1061,5073,11439,12123
0.7476,43.64285714285714,50,25000,0.69744,2528,3782,9972,8718,54030
0.7444,57.857142857142854,50,25000,0.6744,2320,4070,10180,8430,66408
0.74148,72.07142857142857,50,25000,0.64984,2086,4377,10414,8123,72239
0.73168,86.28571428571428,50,25000,0.61848,1939,4769,10561,7731,85247
0.726,100.5,50,25000,0.59416,1777,5073,10723,7427,98431
0.55248,114.71428571428571,50,25000,0.97264,10846,342,1654,12158,34887
0.71124,128.92857142857142,50,25000,0.5532,1634,5585,10866,6915,125007
0.5422,143.14285714285714,50,25000,0.97888,11181,264,1319,12236,43459
0.539,157.35714285714286,50,25000,0.9828,11310,215,1190,12285,47717
0.53736,171.57142857142856,50,25000,0.9816,11336,230,1164,12270,51770
