accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.6689,2,2,10000,0.662366,1610,1701,3352,3337,2167
0.6768,3,2,10000,0.662565,1532,1700,3430,3338,2856
0.6817,4,2,10000,0.666534,1503,1680,3459,3358,3518
0.6857,5,2,10000,0.676459,1513,1630,3449,3408,4150
0.6791,6,2,10000,0.674276,1568,1641,3394,3397,4809
0.6852,7,2,10000,0.676657,1519,1629,3443,3409,4943
0.6801,8,2,10000,0.663358,1503,1696,3459,3342,5476
0.6834,9,2,10000,0.671894,1513,1653,3449,3385,5642
0.6815,10,2,10000,0.673085,1538,1647,3424,3391,6603
0.6917,11,2,10000,0.683208,1487,1596,3475,3442,7908
0.693,12,2,10000,0.689758,1507,1563,3455,3475,7731
0.6945,13,2,10000,0.692934,1508,1547,3454,3491,8406
0.4962,14,2,10000,0,0,5038,4962,0,68
0.7046,2,3,10000,0.704446,1465,1489,3497,3549,2167
0.7139,3,3,10000,0.709805,1399,1462,3563,3576,2568
0.723,4,3,10000,0.718341,1351,1419,3611,3619,3677
0.7182,5,3,10000,0.71318,1373,1445,3589,3593,4360
0.7172,6,3,10000,0.717348,1404,1424,3558,3614,4756
0.7228,7,3,10000,0.720723,1365,1407,3597,3631,4546
0.7159,8,3,10000,0.715363,1407,1434,3555,3604,5586
0.7167,9,3,10000,0.716554,1405,1428,3557,3610,7485
0.7122,10,3,10000,0.711195,1423,1455,3539,3583,6921
0.7301,11,3,10000,0.733227,1355,1344,3607,3694,7556
0.7284,12,3,10000,0.737793,1395,1321,3567,3717,7291
0.7279,13,3,10000,0.732037,1371,1350,3591,3688,7893
0.4962,14,3,10000,0,0,5038,4962,0,99
0.7067,2,4,10000,0.708813,1466,1467,3496,3571,2415
0.7142,3,4,10000,0.70524,1373,1485,3589,3553,2629
0.724,4,4,10000,0.717348,1336,1424,3626,3614,3840
0.7191,5,4,10000,0.716554,1381,1428,3581,3610,3531
0.7189,6,4,10000,0.72231,1412,1399,3550,3639,4022
0.7191,7,4,10000,0.717547,1386,1423,3576,3615,4426
0.7161,8,4,10000,0.70921,1374,1465,3588,3573,4952
0.7168,9,4,10000,0.714768,1395,1437,3567,3601,5660
0.7139,10,4,10000,0.715562,1428,1433,3534,3605,6051
0.7313,11,4,10000,0.73422,1348,1339,3614,3699,6753
0.7307,12,4,10000,0.737793,1372,1321,3590,3717,7149
0.7307,13,4,10000,0.734617,1356,1337,3606,3701,7833
0.4962,14,4,10000,0,0,5038,4962,0,65
0.7258,2,5,10000,0.732037,1392,1350,3570,3688,1854
0.728,3,5,10000,0.726677,1343,1377,3619,3661,2404
0.7405,4,5,10000,0.739976,1285,1310,3677,3728,2902
0.7335,5,5,10000,0.735014,1330,1335,3632,3703,3429
0.733,6,5,10000,0.736205,1341,1329,3621,3709,3916
0.7406,7,5,10000,0.741564,1292,1302,3670,3736,4449
0.7366,8,5,10000,0.739976,1324,1310,3638,3728,5073
0.7352,9,5,10000,0.743351,1355,1293,3607,3745,5888
0.731,10,5,10000,0.736602,1363,1327,3599,3711,6299
0.7433,11,5,10000,0.753672,1326,1241,3636,3797,7687
0.7442,12,5,10000,0.757046,1334,1224,3628,3814,7497
0.7422,13,5,10000,0.758436,1361,1217,3601,3821,8416
0.4962,14,5,10000,0,0,5038,4962,0,66
0.7284,2,6,10000,0.736006,1386,1330,3576,3708,1954
0.7297,3,6,10000,0.728464,1335,1368,3627,3670,3079
0.7378,4,6,10000,0.735411,1289,1333,3673,3705,3081
0.7377,5,6,10000,0.740175,1314,1309,3648,3729,4370
0.7352,6,6,10000,0.741961,1348,1300,3614,3738,4113
0.7395,7,6,10000,0.746129,1326,1279,3636,3759,5468
0.7359,8,6,10000,0.736602,1314,1327,3648,3711,5775
0.7359,9,6,10000,0.74216,1342,1299,3620,3739,6340
0.7316,10,6,10000,0.739976,1374,1310,3588,3728,6127
0.7459,11,6,10000,0.752878,1296,1245,3666,3793,6744
0.7434,12,6,10000,0.758833,1351,1215,3611,3823,7270
0.7418,13,6,10000,0.75526,1349,1233,3613,3805,8183
0.4962,14,6,10000,0,0,5038,4962,0,66
0.734,2,7,10000,0.745335,1377,1283,3585,3755,1922
0.7372,3,7,10000,0.738785,1312,1316,3650,3722,2640
0.742,4,7,10000,0.742358,1282,1298,3680,3740,3138
0.7454,5,7,10000,0.750099,1287,1259,3675,3779,3455
0.7404,6,7,10000,0.748313,1328,1268,3634,3770,4005
0.7449,7,7,10000,0.751886,1301,1250,3661,3788,4807
0.743,8,7,10000,0.750099,1311,1259,3651,3779,5174
0.7388,9,7,10000,0.750298,1354,1258,3608,3780,5941
