accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,precision,tiempo
0.5387,1,1,10000,0.531163,2251,2362,2711,2676,0.54313,1654
0.6689,2,1,10000,0.662366,1610,1701,3352,3337,0.67455,2089
0.6774,3,1,10000,0.661374,1520,1706,3442,3332,0.686727,2679
0.6822,4,1,10000,0.666733,1499,1679,3463,3359,0.691437,3234
0.685,5,1,10000,0.679436,1535,1615,3427,3423,0.690399,4138
0.6784,6,1,10000,0.674871,1578,1638,3384,3400,0.683005,4512
0.6856,7,1,10000,0.672291,1493,1651,3469,3387,0.694057,5099
0.6823,8,1,10000,0.665542,1492,1685,3470,3353,0.692054,5718
0.68,9,1,10000,0.672291,1549,1651,3413,3387,0.686183,7197
0.679,10,1,10000,0.669909,1547,1663,3415,3375,0.685697,7827
0.6844,11,1,10000,0.670703,1497,1659,3465,3379,0.692986,8475
0.6955,12,1,10000,0.690353,1485,1560,3477,3478,0.700786,9015
0.6945,13,1,10000,0.695713,1522,1533,3440,3505,0.697235,15787
0.6892,14,1,10000,0.685193,1522,1586,3440,3452,0.694009,10957
0.6848,15,1,10000,0.676062,1520,1632,3442,3406,0.691433,11578
0.5384,1,2,10000,0.530965,2253,2363,2709,2675,0.542817,1548
0.6689,2,2,10000,0.662366,1610,1701,3352,3337,0.67455,2249
0.6769,3,2,10000,0.662763,1532,1699,3430,3339,0.685486,2822
0.6822,4,2,10000,0.66713,1501,1677,3461,3361,0.691279,3431
0.6848,5,2,10000,0.679238,1536,1616,3426,3422,0.690198,4138
0.6774,6,2,10000,0.672291,1575,1651,3387,3387,0.682588,4827
0.6869,7,2,10000,0.676856,1503,1628,3459,3410,0.694077,5414
0.678,8,2,10000,0.658992,1502,1718,3460,3320,0.688511,6131
0.68,9,2,10000,0.6711,1543,1657,3419,3381,0.686637,7653
0.6822,10,2,10000,0.67368,1534,1644,3428,3394,0.688718,8243
0.698,11,2,10000,0.691346,1465,1555,3497,3483,0.703921,8865
0.6966,12,2,10000,0.694522,1495,1539,3467,3499,0.700641,9487
0.6952,13,2,10000,0.696308,1518,1530,3444,3508,0.697971,10230
0.6931,14,2,10000,0.693529,1525,1544,3437,3494,0.696155,10728
0.6867,15,2,10000,0.675665,1499,1634,3463,3404,0.694269,11551
0.5428,1,3,10000,0.541485,2262,2310,2700,2728,0.546693,1586
0.7044,2,3,10000,0.704446,1467,1489,3495,3549,0.707536,2180
0.714,3,3,10000,0.709408,1396,1464,3566,3574,0.719115,2787
0.7229,4,3,10000,0.718142,1351,1420,3611,3618,0.728114,3369
0.719,5,3,10000,0.716951,1384,1426,3578,3612,0.722978,4277
