nombre_exp,nombre_img,n_cells,ray_type,ray_cnt,lsq,error,error_std,alpha,cache,tiempo_lsq_pre,tiempo_lsq,cant_autovalores,psnr
expVariandoCantRayos,tomo2,32,0,100,0,0,1,0.0001,1,5767,11,63,11.53972128495571
expVariandoCantRayos,tomo2,32,0,100,0,0,1,0.0001,1,0,12,63,11.539721529138225
expVariandoCantRayos,tomo2,32,0,1100,0,0,1,0.0001,1,9183,84,63,11.539699993071292
expVariandoCantRayos,tomo2,32,0,1100,0,0,1,0.0001,1,0,87,63,11.539701695171694
expVariandoCantRayos,tomo2,32,0,2100,0,0,1,0.0001,1,14215,160,63,11.539699447308609
expVariandoCantRayos,tomo2,32,0,2100,0,0,1,0.0001,1,0,165,63,11.539697673621866
expVariandoCantRayos,tomo2,32,0,3100,0,0,1,0.0001,1,24004,237,63,11.539698349135698
expVariandoCantRayos,tomo2,32,0,3100,0,0,1,0.0001,1,0,242,63,11.539699515873924
expVariandoCantRayos,tomo2,32,0,4100,0,0,1,0.0001,1,6658,319,63,11.539693149067428
expVariandoCantRayos,tomo2,32,0,4100,0,0,1,0.0001,1,0,316,63,11.53969295755683
expVariandoCantRayos,tomo2,32,0,5100,0,0,1,0.0001,1,54898,395,63,11.539701328271574
expVariandoCantRayos,tomo2,32,0,5100,0,0,1,0.0001,1,0,420,63,11.539702585614599
expVariandoCantRayos,tomo2,32,0,6100,0,0,1,0.0001,1,23318,502,63,11.539703456794165
expVariandoCantRayos,tomo2,32,0,6100,0,0,1,0.0001,1,0,500,63,11.539700709329122
expVariandoCantRayos,tomo2,32,0,7100,0,0,1,0.0001,1,25319,624,63,11.539701232200771
expVariandoCantRayos,tomo2,32,0,7100,0,0,1,0.0001,1,0,652,63,11.539699896858524
expVariandoCantRayos,tomo2,32,0,8100,0,0,1,0.0001,1,64819,725,63,11.539701365919498
expVariandoCantRayos,tomo2,32,0,8100,0,0,1,0.0001,1,0,779,63,11.539702776100398
expVariandoCantRayos,tomo2,32,0,9100,0,0,1,0.0001,1,16393,883,63,11.539697312518866
expVariandoCantRayos,tomo2,32,0,9100,0,0,1,0.0001,1,0,971,63,11.539696389338925
expVariandoCantRayos,tomo2,32,0,10100,0,0,1,0.0001,1,65540,1037,63,11.539698818415536
expVariandoCantRayos,tomo2,32,0,10100,0,0,1,0.0001,1,0,1122,63,11.53969991733179
expVariandoCantRayos,tomo2,32,0,11100,0,0,1,0.0001,1,65846,1475,63,11.539686043246702
expVariandoCantRayos,tomo2,32,0,11100,0,0,1,0.0001,1,0,1402,63,11.539685642786255
expVariandoCantRayos,tomo2,32,0,12100,0,0,1,0.0001,1,25291,1492,63,11.539705612989422
expVariandoCantRayos,tomo2,32,0,12100,0,0,1,0.0001,1,0,1580,63,11.53970319558107
expVariandoCantRayos,tomo2,32,0,13100,0,0,1,0.0001,1,66463,1972,63,11.539700444073034
expVariandoCantRayos,tomo2,32,0,13100,0,0,1,0.0001,1,0,1902,63,11.539703699099327
expVariandoCantRayos,tomo2,32,0,14100,0,0,1,0.0001,1,66778,2372,63,11.53969473367397
expVariandoCantRayos,tomo2,32,0,14100,0,0,1,0.0001,1,0,2022,63,11.539696050447233
expVariandoCantRayos,tomo2,32,0,15100,0,0,1,0.0001,1,67116,2590,63,11.539683040491095
expVariandoCantRayos,tomo2,32,0,15100,0,0,1,0.0001,1,0,2307,63,11.53968241416107
